Table 1 Initial experiments a

![Image](A_chiral_nickel_DBFOX_complex_as_a_bifunctional_catalyst_for_visible-light-promoted_asymmetric_photoredox_reactions_artifacts/image_000008_828c5ddc7585d4305a8087da1717b65b9a0880daa76c1ed1961d4c637d947e0e.png)

| Entry   | Substrate   | Ligand   | Light source   | Additives   |   t (h) | Product   | Conv. b (%)   | ee c (%)   |
|---------|-------------|----------|----------------|-------------|---------|-----------|---------------|------------|
| 1       | 1a          | L1       | White CFL      | None        |      12 | 3a        | 0             | n.a.       |
| 2       | 1b          | L1       | White CFL      | None        |      12 | 3b        | 22            | 78         |
| 3       | 1c          | L1       | White CFL      | None        |       6 | 3c        | 95            | 91         |
| 4       | 1d          | L1       | White CFL      | None        |      12 | 3d        | 0             | n.a.       |
| 5       | 1c          | L2       | White CFL      | None        |      12 | 3c        | 23            | 0          |
| 6       | 1c          | L3       | White CFL      | None        |      12 | 3c        | 21            | n.d.       |
| 7       | 1c          | L4       | White CFL      | None        |      12 | 3c        | 0             | n.a.       |
| 8       | 1c          | L1       | Blue LEDs      | None        |       3 | 3c        | 95            | 91         |
| 9       | 1c          | L1       | Red LEDs       | None        |      12 | 3c        | <5            | n.d.       |
| 10      | 1c          | L1       | Yellow LEDs    | None        |      12 | 3c        | 0             | n.a.       |
| 11      | 1c          | L1       | UV (365 nm)    | None        |       6 | 3c        | 90            | 91         |
| 12 d    | 1c          | L1       | Blue LEDs      | None        |      12 | 3c        | 0             | n.a.       |
| 13 e    | 1c          | L1       | Blue LEDs      | None        |      12 | 3c        | 0             | n.a.       |
| 14 f    | 1c          | L1       | Blue LEDs      | None        |      12 | 3c        | 0             | n.a.       |
| 15      | 1c          | None     | Blue LEDs      | None        |      12 | 3c        | 0             | n.a.       |
| 16      | 1c          | L1       | None           | None        |      12 | 3c        | <5            | n.a.       |
| 17 g    | 1c          | L1       | Blue LEDs      | None        |      12 | 3c        | 0             | n.a.       |
| 18      | 1c          | L1       | Blue LEDs      | 1 eq. TEMPO |      12 | 3c        | 0             | n.a.       |
| 19      | 1c          | L1       | Blue LEDs      | 3 eq. BHT   |      12 | 3c        | 0             | n.a.       |
