Table 1 and also Supplementary Table 1). The optimized reaction conditions include 1 mol% of [Ir(dF(CF3) ppy)2(dtbbpy)]PF6 ( I ) as a photocatalyst, 20 mol% K2HPO4 as a base, and 1.2 equiv. Ph3P as an O-transfer reagent in dichloromethane (DCM)/H2O (4:1, v/v) (Table 1, entry 1). Under the standard conditions, the corresponding ketone ( 3a ) was obtained in 72% yield. When DCM was employed in place of DCM/H2O, the yield declined signi fi cantly, from 72 to 40% (Table 1, entry 2). It was interesting to fi nd that the O-transfer reagent triphenylphosphine was essential for a successful deoxygenative transformation (Table 1, entry 3). Other photocatalysts such as fac -Ir (ppy)3 ( II ), Ru(bpy)3(PF6)2 ( III ), eosin Y ( IV ), and Acr + -Mes ( V ) were proved ineffective for this transformation (Table 1, entries 4 -7). Control experiments also demonstrated that the reaction could not occur in the absence of either the photocatalyst or light (Table 1, entries 8 and 9).

|   Entry | Variation of conditions          | Yield a   |
|---------|----------------------------------|-----------|
|       1 | None                             | 72%       |
|       2 | Without H 2 O                    | 40%       |
|       3 | No Ph 3 P                        | nd        |
|       4 | 1mol% cat- II instead of cat- I  | nd        |
|       5 | 2mol% cat- III instead of cat- I | nd        |
|       6 | 2mol% cat- IV instead of cat- I  | nd        |
|       7 | 2mol% cat- V instead of cat- I   | nd        |
|       8 | No photocatalyst                 | nd        |
|       9 | No light                         | nd        |
