Table 1
Screening suitable conditions in batch.

|   Entry | Base      | Solvent     |   Photocatalyst | Conv. a (%)   |
|---------|-----------|-------------|-----------------|---------------|
|       1 | Cs 2 CO 3 | DMF         |               1 | 8             |
|       2 | Cs 2 CO 3 | DMF         |               2 | 4             |
|       3 | DBU       | DMF         |               1 | Traces        |
|       4 | DBU       | DMF         |               2 | 6             |
|       5 | DMAP      | DMF         |               2 | 0             |
|       6 | MTBD      | DMF         |               2 | 3             |
|       7 | TEA       | DMF         |               2 | 0             |
|       8 | Lutidine  | DMF         |               2 | Traces        |
|       9 | BTPP      | DMF         |               2 | 0             |
|      10 | DBU       | DMSO        |               2 | Traces        |
|      11 | DBU       | THF         |               2 | 24 b          |
|      12 | DBU       | DMA         |               2 | 12            |
|      13 | DBU       | ACN         |               2 | 2 b           |
|      14 | DBU       | Acetone     |               2 | 12 b          |
|      15 | DBU       | Toluene     |               2 | 13 b          |
|      16 | DBU       | Isopropanol |               2 | 0             |
|      17 | DBU       | EtOAc       |               2 | 22 b          |
|      18 | DBU       | (MeO) 2 CO  |               2 | 0             |

- a % of product measured by LC-MS.
b Precipitation of side products.
