Table 1 Optimization of tri fl uoromethoxylation of 1a

|   Entry | Reagent   | Base (0.1 equiv.)   | Solvent   | Yield a   |
|---------|-----------|---------------------|-----------|-----------|
|       1 | B         | Cs 2 CO 3           | CHCl 3    | 29%       |
|       2 | A         | Cs 2 CO 3           | CHCl 3    | 42%       |
|       3 | C         | Cs 2 CO 3           | CHCl 3    | 10%       |
|       4 | D         | Cs 2 CO 3           | CHCl 3    | 4%        |
|       5 | A         | -                   | CHCl 3    | 72%       |
|       6 | A         | -                   | DMF       | 24%       |
|       7 | A         | -                   | THF       | 48%       |
|       8 | A         | -                   | CH 3 CN   | 69%       |
|       9 | A         | -                   | CH 3 NO 2 | 74%       |
|      10 | A         | -                   | CH 2 Cl 2 | 87%       |
