Table 1. Optimization studies and control experiments.

|   Entry | Deviation from standard conditions   | Yield 3a [%] [b]   |
|---------|--------------------------------------|--------------------|
|       1 | none                                 | 99                 |
|       2 | 1,4-dioxane instead of THF           | 99                 |
|       3 | acetone instead of THF               | 33                 |
|       4 | EtOAc instead of THF                 | 99                 |
|       5 | non-degassed condition               | 90                 |
|       6 | H 2 O (10 equiv)                     | 87                 |
|       7 | 34W Kessil 456 nm (1 mmol)           | 91 [c]             |
|       8 | immersion-well reactor (15 mmol)     | 72 [c]             |
|       9 | no 4CzIPN, nickel or light           | 0                  |

[a] Reactions performed on a 0.1 mmol scale at ambient temperature for 16 h under illumination by a single high-power (HP) blue LED ( l max = 460 nm, irradiance = 100   3 mWcm   2 ) and using 1.5 equiv of 1a and Na 2 CO3. [b] Yield determined by 1 HNMR analysis of the crude mixture using trichloroethylene as the internal standard. [c] Yield of isolated 3a . LED = light-emitting diode; Na 2CO3 = sodium carbonate.
