Table 1: Screening of allylbenzene isomerization. [a]

| Table 1: Screening of allylbenzene isomerization. [a]   | Table 1: Screening of allylbenzene isomerization. [a]   | Table 1: Screening of allylbenzene isomerization. [a]   | Table 1: Screening of allylbenzene isomerization. [a]   | Table 1: Screening of allylbenzene isomerization. [a]   | Table 1: Screening of allylbenzene isomerization. [a]   |
|---------------------------------------------------------|---------------------------------------------------------|---------------------------------------------------------|---------------------------------------------------------|---------------------------------------------------------|---------------------------------------------------------|
| Entry                                                   | Solvent                                                 | Conv. [%] [b]                                           | 2a - E [%] [b]                                          | 2a - Z [%] [b]                                          | 3a [%] [b]                                              |
| 1                                                       | CH 3 OH                                                 | 97                                                      | 77                                                      | 6                                                       | 5                                                       |
| 2                                                       | Toluene                                                 | 0                                                       | 0                                                       | 0                                                       | 0                                                       |
| 3                                                       | CH 2 Cl 2                                               | 0                                                       | 0                                                       | 0                                                       | 0                                                       |
| 4                                                       | DME                                                     | 26                                                      | 15                                                      | 6                                                       | 0                                                       |
| 5                                                       | THF                                                     | 0                                                       | 0                                                       | 0                                                       | 0                                                       |
| 6                                                       | DMSO                                                    | 12                                                      | 9                                                       | 1                                                       | 0                                                       |
| 7                                                       | DMF                                                     | 100                                                     | 93                                                      | 2                                                       | 0                                                       |
| 8                                                       | CH 3 CN                                                 | 0                                                       | 0                                                       | 0                                                       | 0                                                       |
| 9                                                       | 1,4-dioxane                                             | 0                                                       | 0                                                       | 0                                                       | 0                                                       |
| 10 [c]                                                  | DMF                                                     | 0                                                       | 0                                                       | 0                                                       | 0                                                       |
| 11 [d]                                                  | DMF                                                     | 0                                                       | 0                                                       | 0                                                       | 0                                                       |
| 12 [e]                                                  | DMF                                                     | 0                                                       | 0                                                       | 0                                                       | 0                                                       |
| 13 [f ]                                                 | DMF                                                     | 100                                                     | 89                                                      | 2                                                       | 5                                                       |
| 14 [g]                                                  | DMF                                                     | 46                                                      | 38                                                      | 2                                                       | 2                                                       |

[a] Unless otherwise noted, all the reactions were carried out with allylbenzene (0.2 mmol), Co(acac) 2 (0.01 mmol), Xantphos (0.02 mmol), HEH (0.2 mmol), and K 2CO3 (0.2 mmol) in the corresponding solvent (2 mL) under N 2 , irradiation with blue LEDs at 25 8 C for 16 hours. [b] Conversion (Conv.) and yield were determined by GC-FID, using 1,3,5-trimethoxybenzene as an internal standard. [c] Co(acac) 2 was not added. [d] HEH was not added. [e] The reaction was carried out in the dark. [f] Xantphos was replaced by 4CzIPN. [g] Xantphos was not added. HEH: Hantzsch ester. Xantphos: 4,5-bis(diphenylphosphino)-9,9-dimethylxanthene. 4CzIPN: 2,4,5,6-tetra(carbazol-9-yl)isophthalonitrile.
