Table 1: Optimization of the direct excitation deoxyalkynylation.

| Entry [a]   |   1a (equiv) | reaction time   | Light source   | l [nm]   | residual 3a (equiv)   |   residual 1a (equiv) | Yield 4a [b]   |   Yield 5a [b] |   Yield 5b [b] |
|-------------|--------------|-----------------|----------------|----------|-----------------------|-----------------------|----------------|----------------|----------------|
| 1           |          1.5 | 18 h            | 2 Kessil lamps | 440      | 0.25                  |                  0.12 | 50             |             17 |             12 |
| 2 ]         |          1.5 | 24 h            | LED strips     | 460      | 0.70                  |                  0.66 | nd             |             36 |             23 |
| 3 [c]       |          1.5 | 24 h            | none           | dark     | 0.75                  |                  0.60 | nd             |             45 |             23 |
| 4           |          2.5 | 18 h            | 2 Kessil lamps | 440      | 0.05                  |                  0.40 | 57             |             50 |             23 |
| 5           |          2.5 | 24 h            | 1 Kessil lamp  | 440      | 0.25                  |                  0.40 | 41             |             43 |             19 |
| 6           |          2.5 | 24 h            | 1 Kessil lamp  | 427      | 0.15                  |                  0.40 | 43             |             25 |             16 |
| 7           |          2.5 | 24 h            | 1 Kessil lamp  | 390      | 0.30-0.40             |                  0.60 | 34             |             23 |             17 |
| 8           |          2.5 | 24 h            | 2 Kessil lamps | 440      | 0.08                  |                  0.40 | 63             |             33 |             18 |

[a] 3a (0.1 mmol) and 1a were dissolved in DCM [ 3a ] = 0.1 M and irradiated with two lamps (40 W, 440 nm) or LED strips (8 W, 460 nm) at a temperature of 30-35 8 C. [b] 1 HNMR yield was determined using 1 equiv of CH 2 Br 2 as internal standard. [c] Reaction was run at 50 8 C. nd = not detected.
