Figure 3. (a) Optimization of decarboxylative fluorination conditions. a Reactions performed with 0.1 mmol of acid 4b, 2 mL MeCN, and 2 mL 100 mM KPi buffer at pH = 7.8. b Yield determined by 19F NMR using fluorobenzene as internal standard. † 3 mol% catalyst used. (b) Structures of the photocatalysts used in this study. (c) Integrated fluorination reaction, carried out at a 0.1 mmol scale with 50 mg cell-free lysate.

| Entrya | photocatalyst (1 mol%) | 1 (3 eq.), base (2 eq.) | MeCN/KPi buffer (1:1 v/v) | blue LEDs, time, rt |
|---------|-------------------|-----------|---------|-----|
| 24 6    | Na_HPO4 NaH,PO,   | PC1 PC1   | 92 85   |     |
| 6       | none              | PC1       | 90      |     |
| 6       | Cs,CO3            | PC1       | >99     |     |
| 6       | K3PO4             | PC1       | 94      |     |
| 6       | NazHPO4           | PC2       | 90      |     |
| 6       | Na,HPO,           | PC3t      | 84      |     |
| 6       | NazHPO4           | PC4       | 92      |     |
| 6       | Na,HPO4           | PC5       | 82      |     |
| 6       | Na,HPO4           | PC6       | 98      |     |
