Table 1. Optimization of the photocatalytic hydroxydifluoromethylation of 4-methylstyrene ( 2a ). [a]

| Entry | Reagent | Photocatalyst | Yield [%] [b] |
| :--- | :--- | :--- | :--- |
| 1 | 1b | fac-[Ir(ppy)3] | trace |
| 2 | 1c | fac-[Ir(ppy)3] | 29 |
| 3 | 1a | fac-[Ir(ppy)3] | 88 |
| 4 | 1a | [Ir(ppy)2(dtbbpy)]PF6 | 15 |
| 5 | 1a | [Ru(bpy)3]Cl2 | trace |
| 6 | 1a | fac-[Ir(ppy)3] | 0 [c] |
| 7 | 1a | none | 0 |

[a] For detailed reaction conditions, see the Supporting Information. [b] Yields were determined by 1 H NMR spectroscopy using Si(Et) 4 as an internal standard. [c] In the dark. LED = light-emitting diode.
