## Table 2. Solvent Screening a

![Image](Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis_artifacts/image_000013_6b6e708920233829a61b6ff4164dc814b41bfd6afb459646412f260e1e07aa9a.png)

|   entry | photocatalyst            | solvent        | time b   | yield (%) c   |
|---------|--------------------------|----------------|----------|---------------|
|       1 | 4CzIPN                   | MeCN/MeOH 9:1  | 6 h      | 54            |
|       2 | [Ir(dtbbpy)(ppy) 2 ]PF 6 | MeCN/MeOH 9:1  | 2 h      | 57            |
|       3 | [Ir(dtbbpy)(ppy) 2 ]PF 6 | MeCN           | 3 h      | 55            |
|       4 | [Ir(dtbbpy)(ppy) 2 ]PF 6 | CH 2 Cl 2      | 24 h     | 36            |
|       5 | [Ir(dtbbpy)(ppy) 2 ]PF 6 | EtOAc          | 24 h     | n.d. d        |
|       6 | [Ir(dtbbpy)(ppy) 2 ]PF 6 | DMF            | 24 h     | 57            |
|       7 | [Ir(dtbbpy)(ppy) 2 ]PF 6 | t -BuCN        | 1 h      | 42            |
|       8 | [Ir(dtbbpy)(ppy) 2 ]PF 6 | THF            | 22.5 h   | n.d. d        |
|       9 | [Ir(dtbbpy)(ppy) 2 ]PF 6 | THF/H 2 O 99:1 | 22.5 h   | n.d. d        |

a Reaction scale: 70 μ mol. b Photoredox catalysis reaction time; acidic desilylation reaction time: 10 min. c Yield determined by quantitative 1 H NMR with ethylene carbonate as an internal standard. d Not determined.
