Table 1: Optimization of the reaction conditions for the iodine/photoredox-catalyzed process. [a]

| Entry   | x   | y   | Solvent   | Yield   |
|---------|-----|-----|-----------|---------|
| 1 [b,c] | 5   | 10  | DCE       | trace   |
| 2 [c]   | 5   | 10  | DCE       | 20      |
| 3       | 5   | 10  | HFIP/DCE  | 84      |
| 4       | 2   | 10  | HFIP/DCE  | 58      |
| 5       | 2   | 5   | HFIP/DCE  | 80      |
| 6       | 1   | 5   | HFIP/DCE  | 90      |
| 7       | 1   | 2   | HFIP/DCE  | 31 [d]  |
| 8       | 0.5 | 5   | HFIP/DCE  | 76 [d]  |
| 9       | -   | 5   | HFIP/DCE  | 5 [d]   |
| 10      | 1   | -   | HFIP/DCE  | 14 [d]  |
| 11      | 1   | 5   | HFIP/DCE  | - [e]   |
| 12      | 1   | 5   | HFIP/DCE  | 83 [f ] |

[a] All reactions were performed with 0.3 mmol of 1a and stirred for 18 h under blue light irradiation in 3 mL of solvent (1:1) without external heating. Yields refer to isolated material after purification. [b] Reaction performed under anhydrous or oxygen-free conditions. [c] The use of eosin Y or Fukuzumi's catalyst (Figure 2) led to trace amounts of the product. [d] Yield determined by 1 HNMR spectroscopy with 1,3,5trimethoxybenzene as the internal standard. [e] Reaction performed in the absence of light. [f] Reaction performed on 2 mmol scale, 22 h.
