Table 1: Optimization of the reaction conditions. [a]

| Entry   | Solvent          | Catalyst    | Base     | Yield [%] [b]   | E / Z ratio [c]   |
|---------|------------------|-------------|----------|-----------------|-------------------|
| 1       | MeCN             | 4CzIPN      | -        | 42              | 2:1               |
| 2       | MeCN             | 5CzIBN      | -        | 49              | 9:1               |
| 3       | MeCN             | 4CzPN       | -        | 46              | > 20:1            |
| 4       | MeCN             | Ir(dFppy) 3 | -        | 36              | 3:1               |
| 5       | MeCN             | Ir(ppy) 3   | -        | 12              | > 20:1            |
| 6       | CH 2 Cl 2        | 4CzPN       | -        | 72              | 9:1               |
| 7       | Acetone          | 4CzPN       | -        | 23              | 20:1              |
| 8       | MeCN/H 2 O (4:1) | 4CzPN       | -        | 69              | > 20:1            |
| 9       | MeCN/H 2 O (4:1) | 4CzPN       | K 2 CO 3 | 74              | > 20:1            |
| 10      | MeCN/H 2 O (4:1) | 4CzPN       | CsOAc    | 78              | > 20:1            |
| 11      | MeCN/H 2 O (4:1) | 4CzPN       | NaOAc    | 83 (74 [d] )    | > 20:1            |
| 12 [e]  | MeCN/H 2 O (4:1) | 4CzPN       | NaOAc    | 60              | > 20:1            |

[a] Reaction conditions: 1a (0.05 mmol), 2a (0.10 mmol), catalyst (1 mol%), base (0.05 mmol), solvent (0.1 M). [b] Crude 1 H NMR yields using 1,3,5-trimethoxybenzene as an internal standard. [c] E / Z ratios were determined by crude 1 H NMR. [d] Isolated yield. [e] Reaction with 4a instead of 2a . [d] Fppy = 3,5-difluoro-2-(2-pyridinyl)phenyl; ppy = 2(2-pyridinyl)phenyl.
