Table 1 Optimization of Borate-Promoted Direct Carboxamidation under Microwave Conditions a

![Image](Borate_esters_as_convenient_reagents_for_direct_amidation_of_carboxylic_acids_and_transamidation_of_primary_amides_artifacts/image_000001_a42149974d9c0b7d12606753bcc7516cc86a88a39be1c0c9711a016dbb3bd162.png)

|   Entry | Reagent          | Solvent    | Conversion (%) b   |
|---------|------------------|------------|--------------------|
|       1 | none             | MeCN       | 2                  |
|       2 | B(OMe) 3         | MeOH       | 0                  |
|       3 | B(OMe) 3         | MTBE       | 4                  |
|       4 | B(OMe) 3         | PhMe       | 12                 |
|       5 | B(OMe) 3         | THF        | 20                 |
|       6 | B(OMe) 3         | DMSO       | 27                 |
|       7 | B(OMe) 3         | B(OMe) 3 c | 30                 |
|       8 | B(OMe) 3         | MeCN       | 35 (35) g          |
|       9 | B(OMe) 3         | MeCN       | 6 d                |
|      10 | B(OMe) 3         | MeCN       | 14 e               |
|      11 | B(OMe) 3         | MeCN       | 19 f               |
|      12 | B(O i Pr) 3      | MeCN       | 9                  |
|      13 | B(OSiMe 3 ) 3    | MeCN       | 9                  |
|      14 | Si(OMe) 4        | MeCN       | 22                 |
|      15 | B(OCH 2 CF 3 ) 3 | MeCN       | 63 (63) g          |

a Reaction conditions: acid (1 equiv), amine (1 equiv), reagent (1 equiv), solvent (0.5 M), MW (150 W), 100 °C, 10 min. b Determined by crude 1 H NMR (DMSOd 6 ). c 18 equiv B(OMe)3. d with MeOH (1 equiv). e with B(OH)3 (1 equiv). f with H2O (1 equiv). g Isolated yields in parenthases.
