Table 1. α -amidation of hydrocinnamaldehyde.

| Entry                                           | Eq Cat                                          | Light (Wavelenght)                              | Power [mWcm 2 ] [a]                             | Yield [%]                                       |
|-------------------------------------------------|-------------------------------------------------|-------------------------------------------------|-------------------------------------------------|-------------------------------------------------|
| 1                                               | 0.3                                             | -                                               | -                                               | -                                               |
| 2                                               | 0.3                                             | White LEDs COB (430-700 nm)                     | 175                                             | 33                                              |
| 3                                               | 0.3                                             | White LED (430-700 nm)                          | 465                                             | 52                                              |
| 4                                               | 0.3                                             | UV LED (395 nm)                                 | 71                                              | 28                                              |
| 5                                               | 0.3                                             | UV Lamp (310 nm)                                |                                                 | 34                                              |
| 6                                               | 0.3                                             | Blue LED (455 nm)                               | 12                                              | 21                                              |
| 7                                               | 0.3                                             | Blue LED (455 nm)                               | 540                                             | 26                                              |
| 8                                               | 0.3                                             | Green LED (540 nm)                              | 424                                             | 27                                              |
| 9                                               | 0.3                                             | Penn reactor, Blue (455 nm)                     | 3400                                            | 20                                              |
| 10                                              | 0.3                                             | Penn reactor Blue (455 nm)                      | 465                                             |                                                 |
|                                                 |                                                 | Penn reactor Blue (455 nm)                      |                                                 | 35                                              |
| 11                                              | 0.3 0.3                                         | Penn reactor Blue (455 nm)                      | 170 34                                          | 44 48                                           |
| 12 13*                                          | 0.3                                             | Penn reactor Blue (455 nm)                      | 34                                              | 42                                              |

* with 1 mol% fac -(ppy) 3 Ir; [a] the mWcm 2 ratios were empirically measured.
