Table 1.

|   Entry | Modification from above                                                  | Yield (%)   |
|---------|--------------------------------------------------------------------------|-------------|
|       1 | none                                                                     | 80          |
|       2 | DMSO instead of DMA                                                      | 42          |
|       3 | Ir(ppy) 3 instead of 4CzIPN                                              | 78          |
|       4 | 1 equiv. of 1-methylindole 6a                                            | 32          |
|       5 | 3a instead of 3d                                                         | 80          |
|       6 | 0 ° C instead of rt                                                      | 50          |
|       7 | [Ru(bpy) 3 ]Cl 2 and Green LEDs (167 mW) instead of 4CzIPN and Blue LEDs | 78          |
|       8 | no light                                                                 | < 1         |
|       9 | no 4CzIPN                                                                | < 1         |
|      10 | no light, 60 ° C                                                         | < 1         |
