Table 1. Optimization of reaction conditions. [a]

![Image](Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction_artifacts/image_000006_7a3846285e543fc13d5ad1d3945fe50e12f6005df5ec9ae708ca15ad73559497.png)

| Entry   | PC (mol%)               | Base         | Yield [%] [b]   | 3aa/3aa' [c]   |
|---------|-------------------------|--------------|-----------------|----------------|
| 1       | Ru(bpy) 3 (PF 6 ) 2 (1) | 2,6-lutidine | -               | n.d.           |
| 2       | Eosin Y (1)             | 2,6-lutidine | 25              | n.d.           |
| 3       | Ir(ppy) 3 (5)           | 2,6-lutidine | 91              | 1.3:1          |
| 4       | Ir(ppy) 3 (5)           | Et 3 N       | 78              | 1.3:1          |
| 5       | Ir(ppy) 3 (5)           | DIPEA        | -               | n.d.           |
| 6       | Ir(ppy) 3 (5)           | K 2 CO 3     | 44              | 1:1.3          |
| 7       | Ir(ppy) 3 (5)           | Na 2 HPO 4   | 29              | 1:1.2          |
| 8 [d]   | Ir(ppy) 3 (5)           | 2,6-lutidine | 61              | 4:1            |
| 9 [e]   | Ir(ppy) 3 (5)           | 2,6-lutidine | 33              | 3.2:1          |
| 10      | Ir(ppy) 3 (1)           | 2,6-lutidine | 88              | 1.3:1          |
| 11 [f]  | Ir(ppy) 3 (1)           | 2,6-lutidine | -               | n.d.           |
