Table 1

Photocatalyst screening.

![Image](Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid_artifacts/image_000004_bc605dcb1a4a1c1213cee8942b55dc9dc13ed12fac75a209687ae007aa229232.png)

|   Entry a | Photocatalyst                       | X   | Yield (%) b *   |
|-----------|-------------------------------------|-----|-----------------|
|         1 | (Ir[dF(CF 3 )ppy] 2 (dtbbpy))PF 6 c | Br  | 70              |
|         2 | [Ir(dtbbpy)(ppy) 2 ]PF 6            | Br  | 54              |
|         3 | Ir(dFppy) 3                         | Br  | 61              |
|         4 | 3DPAFIPN                            | Br  | 25              |
|         5 | 4CzIPN                              | Br  | 66              |
|         6 | 5CzBN                               | Br  | 64              |
|         7 | (Ir[dF(CF 3 )ppy] 2 (dtbpy))PF 6 c  | Cl  | 57              |
|         8 | 4CzIPN                              | Cl  | nr d            |
|         9 | 5CzBN                               | Cl  | 72              |

Indeed, the energy of the lowest triplet state (ET) of 5CzBn is higher than the one reported for 4CzIPN [28]. Unfortunately, such energy data for ET of 3DPAFIPN is not available, nevertheless the photocatalyst was proven to be unstable under irradiation [29].
