Table 2

Nickel source and ligands screening.

![Image](Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid_artifacts/image_000005_548e7305d72bec9b15aec4001c05304280df2f033128a9742768edfd2ceeba17.png)

|   Entry a | Modification                                       | Yield (%) b   |
|-----------|----------------------------------------------------|---------------|
|         1 | X = Br                                             | 61            |
|         2 | NiBr 2 instead of NiX 2 ⋅ glyme                    | 60            |
|         3 | X = Cl                                             | 63            |
|         4 | Ni(acac) 2 instead of NiX 2 ⋅ glyme                | 62            |
|         5 | Ni(cod) 2 instead of NiX 2 ⋅ glyme                 | 11            |
|         6 | Ni(cod) 2 instead of NiX 2 ⋅ glyme and no ligand   | nr c          |
|         7 | X = Br, bpy instead of dtbbpy                      | 81            |
|         8 | X = Br, dmbpy instead of dtbbpy                    | 80            |
|         9 | X = Br, 4,4 ′ -dMeObpy instead of dtbbpy           | 69            |
|        10 | X = Br, o -phenanthroline instead of dtbbpy        | 56            |
|        11 | X = Br, neocuproine instead of dtbbpy              | 17            |
|        12 | X = Cl, 1 mol% of 5CzBN                            | 52            |
|        13 | X = Cl, 1 mol% of 5CzBN and 2 equiv of QA and btmg | 69            |
|        14 | X = Cl, 1 mol% of 5CzBN and 2 equiv of aryl iodide | 60            |
|        15 | X = Cl, 2 equiv of QA and 2 equiv of btmg          | 85            |
|        16 | X = Cl, no ligand                                  | nr c          |
|        17 | X = Cl, No photocatalyst                           | nr c          |
|        18 | X = Cl, No light                                   | nr c          |
