Table 3 Optimization of TAQA photoredox esterification.

|   Entry | n equivalent a   | Modification                   | Yield (%) b   |
|---------|------------------|--------------------------------|---------------|
|       1 | 1 or 1.5         | None                           | 60            |
|       2 | 1.5              | t BuOK as base                 | 41            |
|       3 | 1.5              | t BuOK as base in DMSO         | 24            |
|       4 | 1.5              | Cs 2 CO 3 as base              | 11            |
|       5 | 1.5              | t BuOK as base, no phthalimide | 18            |
|       6 | 1                | Toluene as solvent             | 31            |
|       7 | 1                | EtOAc as solvent               | 21            |
|       8 | 1                | THF as solvent                 | 50            |
|       9 | 1                | Acetone as solvent             | 35            |
|      10 | 1                | NMP as solvent                 | 58            |
|      11 | 1                | MeOH as solvent                | n.r. c        |
|      12 | 1                | THF/MeCN (1:1) as solvent      | 56            |
|      13 | 1                | MeCN as solvent                | 28            |
|      14 | 1                | DMA as solvent                 | 65            |
|      15 | 1                | DMSO as solvent                | 72            |
|      16 | 2                | DMSO as solvent                | 86 (45 %) d   |
