Table 1. Optimization of the reaction condition in the presence of different amounts of caffeine a .

|   Entry | Caffeine (mol %)   | Solvent      |   Time (h) | Isolated yields (%)   |
|---------|--------------------|--------------|------------|-----------------------|
|       1 | Catalyst free      | MeOH         |         14 | Trace                 |
|       2 | 5                  | MeOH         |          6 | 45                    |
|       3 | 10                 | MeOH         |          4 | 73                    |
|       4 | 15                 | MeOH         |          3 | 88                    |
|       5 | 15                 | EtOH         |          4 | 68                    |
|       6 | 15                 | H 2 O        |          8 | 14                    |
|       7 | 15                 | Solvent free |          6 | 40                    |
|       8 | 15                 | CH 2 Cl 2    |          7 | 31                    |
|       9 | 15                 | CHCl 3       |          7 | 27                    |
|      10 | 15                 | CH 3 CN      |          6 | 35                    |
|      11 | 20                 | MeOH         |          3 | 89                    |
|      12 | 20                 | EtOH         |          4 | 77                    |

a Reaction conditions: aniline (2 mmol), dimethyl acetylenedicarboxylate (1 mmol) and formaldehyde (1.5 mmol) and caffeine in various solvents at room temperature.
