Table 1

|   Entry | Conditions                            | Yield [%] b   |
|---------|---------------------------------------|---------------|
|       1 | PC-1 , A , 1a                         | Trace         |
|       2 | PC-1 , A , 1b                         | <5            |
|       3 | PC-1 , A , 1c                         | 22            |
|       4 | As entry 3, NHC = B                   | 42            |
|       5 | As entry 3, NHC = C                   | 14            |
|       6 | As entry 3, NHC = D                   | <5            |
|       7 | PC-2 , B , 1c                         | 74            |
|       8 | As entry 7, PC = PC-3                 | 82 (78) c     |
|       9 | As entry 7, PC = PC-4                 | 76            |
|      10 | As entry 7, PC = PC-5                 | 8             |
|      11 | As entry 7, PC = PC-6                 | 78            |
|      12 | As entry 8, without light irradiation | 0             |
|      13 | As entry 8, without PC                | 0             |
|      14 | As entry 8, without NHC               | <5            |

![Image](Carbene_and_photocatalyst-catalyzed_decarboxylative_radical_coupling_of_carboxylic_acids_and_acyl_imidazoles_to_form_ket_artifacts/image_000003_28a6f7a6613936d4c81cb5b3c13241d5c9b440180925b22ac0540fc1fcc79430.png)
