Table 1. Optimization of the reaction conditions.[a]

![Image](Cardinale et al. - 2020 - Photoredox‐Catalyzed Addition of Carbamoyl Radicals to Olefins A 1,4‐Dihydropyridine Approach_artifacts/image_000003_3074407c97c4dd57f18ab76f236b8ea6d2ff7e6cc88859321c63e9e94d47f848.png)

| Entry | Deviations from standard conditions | Yield [%][b] |
|-------|----------------------------------------|--------------|
| 1 | none | 80 |
| 2 | 3DPA2FBN instead of 3DPAFIPN | 78 |
| 3 | Mes-Acr + instead of 3DPAFIPN | 65 |
| 4 | CH 3 CN instead of CH 2 Cl 2 | 65 |
| 5 | 405 nm, no 3DPAFIPN | 60 |
| 6 | 1 mol% 3DPAFIPN | 67 |
| 7 | addition of 20 mol% 1,4-dicyanobenzene | 89 |
| 8 | in the dark | 0 |
| 9 | no 3DPAFIPN | 8 |

[a] 0.1 mmol 1a (0.1 m in DCM), 2a (1.3 equiv), 16 h, at r.t. under irradiation of blue LED (455 nm). [b] 1 H NMR yields vs. external 1,3,5-trimethoxybenzene.
