Table 1 | Optimization of reaction conditions .

| Entry   | Photocatalyst          | Base       | Solvent   | Additive    | Yield (%) *   |
|---------|------------------------|------------|-----------|-------------|---------------|
| 1       | Ru(bpy) 3 Cl 2  6H 2 O                        | K 2 CO 3   | CHCl 3    | TEMPO       | 89            |
| 2       | Ru(bpy) 3 Cl 2  6H 2 O                        | NaOH       | CHCl 3    | TEMPO       | 81            |
| 3       | Ru(bpy) 3 Cl 2  6H 2 O                        | Na 2 CO 3  | CHCl 3    | TEMPO       | 72            |
| 4       | Ru(bpy) 3 Cl 2  6H 2 O                        | Na 2 HPO 4 | CHCl 3    | TEMPO       | 8             |
| 5       | Ru(bpy) 3 Cl 2  6H 2 O                        | K 2 CO 3   | THF       | TEMPO       | 51            |
| 6       | Ru(bpy) 3 Cl 2  6H 2 O                        | K 2 CO 3   | MeOH      | TEMPO       | 23            |
| 7       | Ru(bpy) 3 Cl 2  6H 2 O                        | K 2 CO 3   | DMF       | TEMPO       | 26            |
| 8       | Ru(bpy) 3 Cl 2  6H 2 O                        | K 2 CO 3   | CH 3 CN   | TEMPO       | 48            |
| 9       | Ir(ppy) 2 (dtbbpy)PF 6 | K 2 CO 3   | CHCl 3    | TEMPO       | 83            |
| 10      | Eosin Y                | K 2 CO 3   | CHCl 3    | TEMPO       | Trace         |
| 11      | Ru(bpy) 3 Cl 2  6H 2 O                        | K 2 CO 3   | CHCl 3    | K 2 S 2 O 8 | Trace         |
| 12      | Ru(bpy) 3 Cl 2  6H 2 O                        | K 2 CO 3   | CHCl 3    | DDQ         | Trace         |
| 13      | -                      | K 2 CO 3   | CHCl 3    | TEMPO       | 0             |
| 14      | Ru(bpy) 3 Cl 2  6H 2 O                        | -          | CHCl 3    | TEMPO       | 0             |
| 15      | Ru(bpy) 3 Cl 2  6H 2 O                        | K 2 CO 3   | CHCl 3    | -           | 11            |
| 16 w    | Ru(bpy) 3 Cl 2  6H 2 O                        | K 2 CO 3   | CHCl 3    | TEMPO       | 0             |
