Table 1 Selected optimization trials (see ESI for complete details). All reactions were conducted on 0.1 mmol scale. All reactions were irradiated in vials with 10 mm external diameter unless otherwise noted. Yields were determined by 19 F NMR integration relative to 1.0 equiv. 4- fl uorobromobenzene as an internal standard

| Entry   | Photocatalyst   | Base                  | Solvent                        |    Temp. (  C) | Yield (%)   |
|---------|-----------------|-----------------------|--------------------------------|----|-------------|
| 1       | Ir-1            | NBu 4 PO 2 (O n Bu) 2 | 1 : 1 PhCF 3 / t BuOH (0.05 M) | 35 | 45 a        |
| 2       | Ir-1            | NBu 4 PO 2 (O n Bu) 2 | PhCF 3 (0.05 M)                | 35 | 68          |
| 3       | Ir-1            | NBu 4 PO 2 (O n Bu) 2 | PhCF 3 (0.1 M)                 | 35 | 39          |
| 4       | Ir-1            | NBu 4 PO 2 (O n Bu) 2 | CH 3 CN (0.05 M)               | 35 | 70          |
| 5       | Ir-2            | NBu 4 PO 2 (O n Bu) 2 | CH 3 CN (0.05 M)               | 35 | 44          |
| 6       | Ir-3            | NBu 4 PO 2 (O n Bu) 2 | CH 3 CN (0.05 M)               | 35 | 43          |
| 7       | Ir-1            | NBu 4 PO 2 (O n Bu) 2 | CH 3 CN (0.05 M)               | 60 | 63          |
| 8       | Ir-1            | NBu 4 PO 2 (O n Bu) 2 | PhCF 3 (0.05 M)                | 60 | 74          |
| 9       | Ir-1            | NBu 4 OBz             | PhCF 3 (0.05 M)                | 60 | 67          |
| 10      | Ir-1            | KOBz                  | PhCF 3 (0.05 M)                | 60 | 71          |
| 11      | Ir-1            | p -OMeC 6 H 4 CO 2 Na | PhCF 3 (0.05 M)                | 60 | 45          |
| 12      | Ir-1            | p -OMeC 6 H 4 CO 2 K  | PhCF 3 (0.05 M)                | 60 | 77          |
| 13      | Ir-1            | p -ClC 6 H 4 CO 2 K   | PhCF 3 (0.05 M)                | 60 | 78 (72 a )  |
| 14 b    | Ir-1            | p -ClC 6 H 4 CO 2 K   | PhCF 3 (0.05 M)                | 60 | 70 (64 a )  |
| 15      | None            | p -ClC 6 H 4 CO 2 K   | PhCF 3 (0.05 M)                | 60 | 0           |
| 16      | Ir-1            | None                  | PhCF 3 (0.05 M)                | 60 | <5%         |
| 17      | Ir-1 (no light) | p -ClC 6 H 4 CO 2 K   | PhCF 3 (0.05 M)                | 60 | 0           |
