Table 2. Decarboxylative photo-Giese reaction at lower PC loadings. [a]

![Image](Chemistry A European J - 2022 - Prentice - Multi‐Resonant Thermally Activated Delayed Fluorescent  MR‐TADF  Compounds as_artifacts/image_000006_6da50cb3d72d2098fb5e523cbdbb577d8dfd524bcab97e66b40abce1ef378427.png)

| Entry | PC | PC loading [mol%] | Yield [%] [b] |
| :--- | :--- | :--- | :--- |
| 1 | 4CzIPN | 1 | 80 |
| 2 | DiKTa | 1 | 82 |
| 3 | Mes3DiKTa | 1 | 81 |
| 4 | 4CzIPN | 0.5 | 79 |
| 5 | DiKTa | 0.5 | 81 |
| 6 | Mes3DiKTa | 0.5 | 80 |
| 7 | 4CzIPN | 0.25 | 28 |
| 8 | DiKTa | 0.25 | 80 |
| 9 | Mes3DiKTa | 0.25 | 80 |
| 10 | 4CzIPN | 0.1 | 9 |
| 11 | DiKTa | 0.1 | 18 |
| 12 | Mes3DiKTa | 0.1 | 59 |

[a] Cbz-Pro-H ( 1a ) (0.15 mmol), diethyl maleate ( 2 ) (0.18 mmol), K2HPO4 (0.17 mmol), PC, MeCN (3 mL), irradiation with 440 nm LEDs, rt. [b] Yield determined by 1 H NMR, using 1,3,5-trimethoxybenzene as internal standard, averaged over three separate experiments.
