Table 2. Coupling reactions of 2-isopropylacrolein and 3-phenylpropionaldehyde with CrCl2 in different solvents. [a]

|   Entry | Solvent              | Yield [%]   | dr ( syn / anti )   | de [%]     |
|---------|----------------------|-------------|---------------------|------------|
|       1 | DMF                  | 79          | 61.5:38.5           | 23 ( syn ) |
|       2 | THF                  | < 5         | 69.5:30.5           | 39 ( syn ) |
|       3 | THF/DMF              | < 10        | 62.5:37.5           | 25 ( syn ) |
|       4 | dioxane              | < 10        |                     | [b]        |
|       5 | N -methylpyrrolidone | 12          | 62.5:37.5           | 25 ( syn ) |
|       6 | glyme                | 0           |                     | -          |
|       7 | CH 3 CN              | 10 [c]      | 74:26               | 48 ( syn ) |

[a] Reaction conditions: 10 mol% CrCl2, Mn, TMSCl, solvent. [b] Not determined. [c] CrCl 3 as catalyst, in situ reduction by manganese.
