Table 3. Chromocene derivatives as catalysts: formation of cyclopropanols. [a]

|       |          |         | Pinacol ( 12 )   | Pinacol ( 12 )     | Cyclopropanol ( 15 )   |
|-------|----------|---------|------------------|--------------------|------------------------|
| Entry | Catalyst | Solvent | Yield [%]        | de [%] [b] ( syn ) | Yield [%]              |
| 1     | CrCl 2   | DMF     | 79               | 23                 | 0                      |
| 2     | Cp 2 Cr  | DMF     | 83               | 22                 | 0                      |
| 3     | Cp 2 Cr  | THF     | 5                | 47                 | 25                     |
| 4     | 13       | DMF     | 87               | 22                 | 0                      |
| 5     | 13       | THF     | 5                | 55                 | 35                     |
| 6 [c] | 13       | THF     | 10               | 73                 | 47                     |
| 7     | 14       | DMF     | 82               | 23                 | 0                      |
| 8     | 14       | THF     | 6                | 80                 | 52                     |
| 9     | 14       | CH 3 CN | 12               | 60                 | 0                      |
| 10    | 14       | dioxane | 7                | 60                 | 0                      |
| 11    | 14       | glyme   | 7                | 50                 | 0                      |

[a] Reaction conditions: 10 mol% CrCl2, Mn, TMSCl, solvent. [b] Diastereoselectivities were determined by HPLC. [c] Both coupling components added at once.
