Table 1 Reaction condition optimization

|   Entry | Variation from the ' standard conditions a '   | Yield b (%)   |
|---------|------------------------------------------------|---------------|
|       1 | None                                           | 81 (77) c     |
|       2 | Mes-Acr1 instead of Mes-Acr4                   | 50            |
|       3 | Mes-Acr2 instead of Mes-Acr4                   | 42            |
|       4 | Mes-Acr3 instead of Mes-Acr4                   | 58            |
|       5 | TPT instead of Mes-Acr4                        | Trace         |
|       6 | DCA instead of Mes-Acr4                        | Trace         |
|       7 | 4CzIPN instead of Mes-Acr4                     | Trace         |
|       8 | PhSH instead of PhSeH                          | 56            |
|       9 | 4-NO 2 PhSH instead of PhSeH                   | 38            |
|      10 | DCM (0.025 M)                                  | 82            |
|      11 | DCM (0.1 M)                                    | 60            |
|      12 | DCM (0.2 M)                                    | 30            |
|      13 | Without 2,6-lutidine                           | 68            |
|      14 | Without PhSeH                                  | 23            |
|      15 | Without Mes-Acr4                               | Trace         |
|      16 | No light                                       | Trace         |
