Table 1 Reaction optimization a

![Image](Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr_artifacts/image_000007_14095e1fb7d4ffe1d17a558b24dc47bf5065ecb9e457f6fb0517fb1cfbd8bfdb.png)

|   Entry | Variation from ' standard conditions '                 | Yield b 3aa [%]   |   Yield b 3aa 0 [%] |
|---------|--------------------------------------------------------|-------------------|---------------------|
|       1 | None                                                   | 78                |                   0 |
|       2 | K 2 CO 3 (0.2 equiv.) instead of K 2 CO 3 (2.0 equiv.) | 50                |                  26 |
|       3 | NHC-2 instead of NHC-1                                 | 11                |                  12 |
|       4 | NHC-3 instead of NHC-1                                 | 8                 |                  26 |
|       5 | NHC-4 instead of NHC-1                                 | 24                |                   0 |
|       6 | NHC-5 instead of NHC-1                                 | 0                 |                   0 |
|       7 | PC-2 (5 mol%) instead of PC-1                          | 32                |                   0 |
|       8 | PC-3 instead of PC-1                                   | 11                |                   0 |
|       9 | MeCN instead of DMF                                    | 21                |                  20 |
|      10 | DMSO instead of DMF                                    | 42                |                   0 |
|      11 | Cs 2 CO 3 instead of K 2 CO 3                          | 57                |                   0 |
|      12 | K 3 PO 4 instead of K 2 CO 3                           | 29                |                  22 |
|      13 | Na 2 CO 3 instead of K 2 CO 3                          | 37                |                   0 |
|      14 | Me 4 NCl instead of LiCl                               | 50                |                   0 |
|      15 | KCl instead of LiCl                                    | 15                |                   0 |
|      16 | Without NHC-1                                          | 0                 |                   0 |
|      17 | Without PC-1                                           | 0                 |                   0 |
|      18 | In the dark                                            | 0                 |                   0 |
|      19 | DMF (0.1 M) instead of DMF (0.05 M)                    | 85(79) c          |                   0 |

![Image](Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr_artifacts/image_000008_19ac8071eac0730eba87b5b6eca2acf756db5ff7e3a31588ff6006c434b0b830.png)
