Table 1 Control experiments for decarboxylative alkynylation with aryl alkynes in 0.1 mmol scale

| Entry   | Deviation from the reaction conditions   | Convention of 2   | Homocoupling of 2 a   | Yield of 3 a   |
|---------|------------------------------------------|-------------------|-----------------------|----------------|
| 1       | None                                     | 95%               | 22%                   | 72% b          |
| 2 c     | CuCl to Cu powder                        | 92%               | 16%                   | 67%            |
| 3       | Cu(acac) 2 to Fe(acac) 2                 | 83%               | 36%                   | 12%            |
| 4       | Cu(acac) 2 to Co(acac) 2                 | 90%               | 18%                   | 68%            |
| 5       | Cu(acac) 2 to Ni(acac) 2                 | 98%               | 18%                   | 74%            |
| 6       | Cu(acac) 2 to Zn(acac) 2                 | 87%               | 32%                   | 36%            |
| 7       | Cu(acac) 2 to t Bu 3 -TERPY              | 91%               | 72%                   | 8%             |
| 8       | Without Cu(acac) 2                       | 86%               | 62%                   | 21%            |
| 9       | Without CuCl                             | 0%                | 0%                    | 0%             |
| 10      | Without Et 3 N                           | 0%                | 0%                    | 0%             |
| 11      | Et 3 N to K 2 CO 3                       | 0%                | 0%                    | 0%             |
| 12      | Blue LED to 20 WCFL                      | 92%               | 10%                   | 68%            |
| 13      | In darkness                              | 0%                | 0%                    | 0%             |

a Crude yields determined by 1 HNMRspectroscopy using dibromomethane as an internal standard. b 69% isolated yield. c Copper powder treated with hydrochloric acid.
