Table 1 Evaluation of reaction conditions.

| Entry | Ligand | Yield (%) | E/Z |
| :--- | :--- | :--- | :--- |
| 1 | — | 7 | 57:43 |
| 2 | PPh3 | 5 | 92:8 |
| 3 | Xantphos | 69 | 99:1 |
| 4 | DPPE | 15 | 92:8 |
| 5 | DPPB | 25 | 99:1 |
| 6 | DPPM | 18 | 99:1 |
| 7 | DPPBZ | 20 | 99:1 |
| 8a | Xantphos | 74 | 99:1 |
| 9b | Xantphos | 82 | 99:1 |
| 10c | Xantphos | 90 | 99:1 |

Reaction conditions: 1a (0.20 mmol), 2a (0.20 mmol), Cu(OAc)2 (0.01 mmol, 5 mol%), ligand (0.01 mmol, 5 mol%), THF (0.4 mL), rt, 12 h. Yield refers to isolated yield. E/Z ratio was determined by GC-MS analysis. a 2a (0.24 mmol, 1.2 equiv) was used. b Xantphos (0.012 mmol, 6 mol%) was used. c Xantphos (0.015 mmol, 7.5 mol%) was used.
