Table 1. Optimization studies and control experiments. [a]

![Image](CpCosupIIIsup_Catalyzed_SiteSelective_CH_Activation_of_Unsymmetrical_iOiAcyl_Oximes_Synthesis_of_Multisubstituted_Isoqui_artifacts/image_000004_7de2c47a6bcf9b73818280380f5ca56ed70d6a8f24817f3a78c6bfa7e2c5de4a.png)

| Entry   | Catalyst [mol %]                | Ag-salt [mol %]   | Base [mol %]   |   T [°C] | Yield [%] [b]   | Ratio of 3 / 4   |
|---------|---------------------------------|-------------------|----------------|----------|-----------------|------------------|
| 1       | [Cp*Co(C 6 H 6 )][PF 6 ] 2 (10) | None              | KOAc (20)      |      120 | 46              | 14/1             |
| 2       | Cp*Co(CO)I 2 (10)               | AgPF 6 (20)       | KOAc (20)      |      120 | 73              | 17/1             |
| 3       | Cp*Co(CO)I 2 (10)               | AgBF 4 (20)       | KOAc (20)      |      120 | 65              | 19/1             |
| 4       | Cp*Co(CO)I 2 (10)               | AgNTf 2 (20)      | KOAc (20)      |      120 | 70              | 16/1             |
| 5       | Cp*Co(CO)I 2 (10)               | AgSbF 6 (20)      | KOAc (20)      |      120 | 82 [c]          | 17/1             |
| 6       | Cp*Co(CO)I 2 (10)               | AgSbF 6 (20)      | K 2 CO 3 (20)  |      120 | 71              | 13/1             |
| 7       | Cp*Co(CO)I 2 (10)               | AgSbF 6 (20)      | CsOAc (20)     |      120 | 63              | 19/1             |
| 8       | Cp*Co(CO)I 2 (10)               | AgSbF 6 (20)      | CsOPiv (20)    |      120 | 64              | 17/1             |
| 9       | Cp*Co(CO)I 2 (10)               | AgSbF 6 (20)      | None           |      120 | 55              | 17/1             |
| 10 [d]  | [Cp*RhCl 2 ] 2 (2.5)            | None              | NaOAc (30)     |       60 | trace           | N.D.             |
| 11 [d]  | [Cp*RhCl 2 ] 2 (2.5)            | None              | CsOAc (30)     |       80 | trace           | N.D.             |
| 12      | [Cp*RhCl 2 ] 2 (5)              | AgSbF 6 (20)      | KOAc (20)      |       80 | trace           | N.D.             |
| 13      | [Cp*RhCl 2 ] 2 (5)              | AgSbF 6 (20)      | KOAc (20)      |      120 | 11              | 1/1.3            |
| 14      | [Cp*RhCl 2 ] 2 (5)              | AgSbF 6 (20)      | K 2 CO 3 (20)  |      120 | 9               | 1/1.6            |
| 15      | [Cp*RhCl 2 ] 2 (5)              | AgSbF 6 (20)      | CsOAc (20)     |      120 | 28              | 1/1.3            |
| 16      | [Cp*RhCl 2 ] 2 (5)              | AgSbF 6 (20)      | CsOPiv (20)    |      120 | 13              | 1/1.3            |

[a]  Reactions  were  run  using 1a (0.15  mmol)  and 2a (0.18  mmol)  in ClCH2CH2Cl  unless  otherwise  noted.  [b]  Combined  yield  of 3aa and 4aa determined by 1 H  NMR analysis  with  an  internal  standard.  [c]  Isolated  yield after  silica  gel  column  chromatography.  [d]  The  reaction  was  run  in  MeOH (conditions reported in ref [13a,13b] ).
