Table 1 Optimization of the pinacol coupling reaction mediated by Cp2TiCl2

![Image](Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing__artifacts/image_000008_c580fc169662546d5f3c7319d1c49ac89642eb5b297ba30017be053869d7df8b.png)

| Entry a   | Deviation from standard conditions   | Yields b    | d.r. ( D , L : meso ) c   |
|-----------|--------------------------------------|-------------|---------------------------|
| 1         | None                                 | >99(89) d   | >20 : 1                   |
| 2         | No photocatalyst                     | No reaction | -                         |
| 3         | No 3                                 | Traces      | 1 : 1                     |
| 4         | No light                             | No reaction | -                         |
| 5 e       | 7 instead of 4 +                     | >99         | 1 : 1                     |
| 6 e       | 8 instead of 4 +                     | >99         | 1 : 1                     |
| 7 e       | 9 instead of 4 +                     | >99         | 1 : 1                     |
| 8 e       | 10 instead of 4 +                    | >99         | 1 : 1                     |
| 9 e       | 11 instead of 4 +                    | No reaction | -                         |
| 10 e      | 12 instead of 4 +                    | No reaction | -                         |
| 11 e      | 7 Instead of 4 + and No 3            | >99         | 1 : 1                     |
| 12 e , f  | No photocatalyst, No 3               | 50          | 1 : 1                     |
| 13        | Toluene instead of PhCF 3            | >99         | 7 : 1                     |
| 14        | Benzene instead of PhCF 3            | No reaction | -                         |
| 15        | DMF instead of PhCF 3                | 53          | 1 : 2                     |
| 16        | MeCN instead of PhCF 3               | Traces      | -                         |
| 17        | PhCN instead of PhCF 3               | Traces      | -                         |
| 18        | PhF instead of PhCF 3                | 23          | 3 : 1                     |
| 19        | THF instead of PhCF 3                | Traces      | -                         |
| 20        | 5 Instead of 3                       | No reaction | -                         |

a Reactions performed on a 0.1 mmol scale. b Determined by 1 H NMR analysis using the internal standard method. c Determined by 1 H NMR analysis of reaction crude. d Reaction performed on a 0.2 mmol scale; the value in parentheses is the isolated yield a  er chromatographic puri  cation; 4 + was recovered (&gt;90%) a  er chromatographic puri  cation. e Irradiation at 456 nm. f Reaction time 72 h.
