Table 2 Optimization of the pinacol coupling reaction mediated by chiral titanium complexes

![Image](Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing__artifacts/image_000010_bc387d4eedf22ce271dd4f88cf1613908992ab9308484a4f1709b6de73d53f27.png)

| Entry a   | Deviation from standard conditions   | Yields b   | d.r. ( D , L : meso ) c   | e.r. d ( R , R / S , S )   |
|-----------|--------------------------------------|------------|---------------------------|----------------------------|
| 1         | None                                 | 74(67) e   | >20 : 1                   | 96 : 4                     |
| 2 f       | 14 instead 13 , [ 1a ] 0.1 M         | Traces     | -                         | -                          |
| 3 f       | 15 instead 13 , [ 1a ] 0.1 M         | n.r.       | 1 : 1                     | -                          |
| 4         | No photocatalyst                     | n.r.       | -                         | -                          |
| 5         | No titanium                          | Traces     | 1 : 1                     | 50 : 50                    |
| 6         | No light                             | n.r.       | 1 : 1                     | -                          |
| 7 g       | 10 mol% of ( S , S ) 11              | 49         | 1 : 1                     | 3 : 97                     |
| 8         | Toluene instead of PhCF 3            | Traces     | 1 : 1                     | -                          |
| 9         | MeCN instead of PhCF 3               | n.r.       | 1 : 1                     | -                          |
| 10        | Benzene instead of PhCF 3            | n.r.       | 1 : 1                     | -                          |
| 11        | THF instead of PhCF 3                | Traces     | 7 : 1                     | -                          |
| 12        | DME instead of PhCF 3                | Traces     | -                         | -                          |
| 13        | 25  C instead 6 - 12  C                                      | 92         | 9 : 1                     | 64.5 : 35.5                |

a Reactions performed on a 0.1 mmol scale. b Determined by 1 H NMR analysis using the internal standard method. c Determined by 1 H NMR analysis of reaction crude. d Determined by HPLC analysis on a column with a chiral stationary phase. e Reaction performed on a 0.2 mmol scale. The value in parentheses is the isolated yield a  er chromatographic puri  cation. f 5 mol% of titanium catalyst was used in the reaction. g Reaction time 16 h.
