Table 1 Selected optimization studies for the preparation of sulfone 1 a

![Image](Direct_sulfonylation_of_anilines_mediated_by_visible_light_artifacts/image_000008_d02999385e09eb9fc1e1f31cf66b12d186172c55dfcb7b9bc2cbfcc271cc596a.png)

| Entry    |   Catalyst | Solvent                 | Yield b (%)   |
|----------|------------|-------------------------|---------------|
| 1        |          2 | 10 : 1 MeCN/H 2 O       | 22            |
| 2        |          3 | 10 : 1 MeCN/H 2 O       | 12            |
| 3        |          4 | 10 : 1 MeCN/H 2 O       | 60            |
| 4        |          5 | 10 : 1 MeCN/H 2 O       | 67            |
| 5        |          6 | 10 : 1 MeCN/H 2 O       | 60            |
| 6 c      |          5 | 10 : 1 MeCN/H 2 O       | 60            |
| 7        |          5 | 5 : 1 MeCN/H 2 O        | 59            |
| 8        |          5 | MeCN                    | 27            |
| 9 c      |          5 | 10 : 1 MeCN/TFA         | 58            |
| 10       |          5 | 10 : 1 CH 2 Cl 2 /H 2 O | 52            |
| 11       |          5 | 10 : 1 acetone/H 2 O    | 63            |
| 12 d     |          5 | 10 : 1 MeCN/H 2 O       | 76            |
| 13 d , e |          5 | 10 : 1 MeCN/H 2 O       | 85(85)        |

a Reaction conditions: catalyst (1 mol%), sodium methanesul  nate (3 equiv.), K2S2O8 (2 equiv.), Bu4NHSO4 (20 mol%), 0.2 M, blue LEDs, 24 h. b 1 H NMR yield vs. trimethoxybenzene internal standard. Isolated yield in parentheses. c No Bu4NHSO4. d 5 equiv. sodium methanesul  nate, 3 equiv. K2S2O8, 0.1 M. e 72 h.
