## Table 1. Selected Optimization Results for the Light-Driven α -Tri fl uoromethoxylation of Ketones a

a Reaction conditions, unless otherwise stated: 1.5 mL of MeCN, [ 2a ] 0 = 0.033 M, at rt for irradiation for 1 h (see the Supporting Information). 19 F NMR yield using CF3-Ph as an internal standard. b The reaction was performed at [ 2a ] 0 = 0.01 M. c Performed at 50 ° C.

![Image](Duhail et al. - 2021 - Radical α-Trifluoromethoxylation of Ketones under Batch and Flow Conditions by Means of Organic Phot_artifacts/image_000007_549fd8c5f4e450257937855819e7c054e8bab3e66f5b133ca28c2f2c02ea53f6.png)

| entry    | 1 (equiv)   | PC        |   light source (nm) | 3 : 4 ratio   |   yield of 3 (%) |
|----------|-------------|-----------|---------------------|---------------|------------------|
| 1        | 1a , 10     | -         |                 400 | 8:1           |               17 |
| 2        | 1a , 10     | NTC1      |                 420 | 13:1          |               20 |
| 3        | 1a , 10     | Mes-Acr + |                 456 | 9:1           |                7 |
| 4        | 1a , 10     | Ru(bpy) 3 |                 456 | 12:1          |               33 |
| 5        | 1a , 10     | 4-CzlPN   |                 456 | >20:1         |               37 |
| 6 b      | 1a , 10     | 4-CzlPN   |                 456 | >20:1         |               41 |
| 7 b , c  | 1a , 10     | 4-CzlPN   |                 420 | >20:1         |               44 |
| 8 b , c  | 1b , 10     | 4-CzlPN   |                 456 | >20:1         |               52 |
| 9 b , c  | 1b , 5      | 4-CzlPN   |                 456 | >20:1         |               50 |
| 10 b , c | 1b , 1.5    | 4-CzlPN   |                 456 | >20:1         |               30 |
| 11 b , c | 1b , 5      | 4-CzlPN   |                 456 | >20:1         |                0 |
