Table 2 Optimization of the solvent

|   Entry | Solvent               |   Time (min) | Yield a (%)   |
|---------|-----------------------|--------------|---------------|
|       1 | Neat                  |           60 | Trace         |
|       2 | Toluene               |           60 | 10            |
|       3 | DMF                   |           60 | 47            |
|       4 | DCM                   |           60 | 35            |
|       5 | MeOH                  |           45 | 60            |
|       6 | EtOH                  |           45 | 70            |
|       7 | CH 3 CN               |           30 | 88            |
|       8 | H 2 O                 |           30 | 55            |
|       9 | CH 3 CN/H 2 O (1 : 1) |           30 | 94            |
|      10 | CH 3 CN/H 2 O (2 : 1) |           30 | 94            |
|      11 | CH 3 CN/H 2 O (3 : 1) |           30 | 94            |
|      12 | CH 3 CN/H 2 O (9 : 1) |           30 | 91            |
|      13 | THF                   |           60 | 20            |

Reaction conditions: aniline (1 mmol), DEAD (1.2 mmol), benzaldehyde (1 mmol), Rose Bengal (15 mol%), solvent (3 mL), blue LED irradiation under air atmosphere at rt. a Isolated yield of product.
