Scheme 1 Optimization of reaction parameters. a,b

| Entry | Variation from standard conditions | Yield of 3a (%) |
| :--- | :--- | :--- |
| 1 | None (standard conditions) | 65 |
| 2 | No current | 0 |
| 3 | MeCN instead of MeCN/DCM (2 : 1) | 38 |
| 4 | DMF instead of MeCN/DCM (2 : 1) | 12 |
| 5 | DMSO instead of MeCN/DCM (2 : 1) | 0 |
| 6 | MeCN/DCM (1 : 1) | 44 |
| 7 | MeCN/DCM (4 : 1) | 51 |
| 8 | BDD anode instead of Pt | 61 |
| 9 | Graphite anode instead of Pt | 0 (4: 32%, 5: 18%) |
| 10 | 1 mA instead of 2 mA | 42 |
| 11 | 4 mA instead of 2 mA | 54 |
| 12 | Constant potential (Ucell = 3.0 V) | 0 |
| 13 | Constant potential (Ucell = 3.5 V) | 63 |
| 14 | Constant potential (Ucell = 4.0 V) | 41 |
| 15 | H2O (1.0 equiv.) | 61 |
| 16 | H2O (3.0 equiv.) | 64 |
| 17 | No H2O | 22 |

a Reactions were conducted on 0.2 mmol scale. b Yields were determined by 19 F NMR spectroscopy using 2,2,2-tri fl uoroethanol as an internal standard.
