Table 1 Optimization of the reaction conditions a

![Image](Enantioselective_catalytic_-amination_through_proton-coupled_electron_transfer_followed_by_stereocontrolled_radicalradic_artifacts/image_000010_3e580e192b74f14d189fe907560cd6cdbfa6a473c8d3b0d5c9965617134a3a5e.png)

|   Entry | Catalyst   | Base   | PC   | h n   | Solvent   | Yield b (%)   | ee c (%)   |
|---------|------------|--------|------|-------|-----------|---------------|------------|
|       1 | D - RhO    | B1     | PC1  | Light | CHCl 3    | 43            | 96         |
|       2 | D - RhO    | B1     | PC1  | Light | CH 2 Cl 2 | Quant.        | 96         |
|       3 | D - RhO    | B2     | PC1  | Light | CH 2 Cl 2 | Quant.        | 98         |
|       4 | D - RhO    | B3     | PC1  | Light | CH 2 Cl 2 | 24            | 74         |
|       5 | D - RhO    | B2     | PC2  | Light | CH 2 Cl 2 | 41            | 97         |
|       6 | D - RhO    | B2     | PC3  | Light | CH 2 Cl 2 | 34            | 98         |
|       7 | D - RhS    | B2     | PC1  | Light | CH 2 Cl 2 | <10           | n.d. d     |
|       8 | D - IrO    | B2     | PC1  | Light | CH 2 Cl 2 | Trace         | n.d. d     |
|       9 | None       | B2     | PC1  | Light | CH 2 Cl 2 | 0 e           | n.a. f     |
|      10 | D - RhO    | None   | PC1  | Light | CH 2 Cl 2 | 8             | 93         |
|      11 | D - RhO    | B2     | PC1  | Dark  | CH 2 Cl 2 | 0             | n.a. f     |
|      12 | D - RhO    | B2     | None | Light | CH 2 Cl 2 | 39            | 98         |

a Reaction conditions: a , b -unsaturated acyl imidazole 1a (0.10 mmol), carbamate 2a (0.12 mmol), metal catalyst (0.005 mmol), PC1-3 (0.002 mmol), B1-3 (0.02 mmol), 4 ˚ A molecular sieves (MS) (10 mg), and solvent (1.0 mL). The reactions were irradiated with blue LEDs (24 + 36 W), except for entry 11. b Yields determined by crude 1 H NMR analysis. c Ee values determined by HPLC analysis on a chiral stationary phase. d Not determined. e Cyclobutane side product formed. f Not applicable.
