Table 1
Condition optimization a .

| Entry | Photocatalyst | HAT reagent | Formate | Solvent | Yield (%) |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | Ir(dtbbpy)(ppy)2PF6 | PhSNa | HCO2K | DMSO | 80 (75) |
| 2 | Ir[dF(CF3)(ppy)]2(dtbbpy)PF6 | PhSNa | HCO2K | DMSO | 32 |
| 3 | 4CzIPN | PhSNa | HCO2K | DMSO | 15 |
| 4 | 4DPAIPN | PhSNa | HCO2K | DMSO | 78 |
| 5 | PhSH | PhSNa | HCO2K | DMSO | 45 |
| 6 | PhSPh | PhSNa | HCO2K | DMSO | 12 |
| 7 | DABCO | PhSNa | HCO2K | DMSO | 8 |
| 8 | Ir(dtbbpy)(ppy)2PF6 | PhSNa | HCO2Na | DMSO | Trace |
| 9 | Ir(dtbbpy)(ppy)2PF6 | PhSNa | HCO2NH4 | DMSO | Trace |
| 10 | Ir(dtbbpy)(ppy)2PF6 | PhSNa | HCO2K | DMF | 10 |
| 11 | Ir(dtbbpy)(ppy)2PF6 | PhSNa | HCO2K | DMA | 12 |
| 12 b | Ir(dtbbpy)(ppy)2PF6 | PhSNa | HCO2K | DMSO | 36 |
| 13 c | Ir(dtbbpy)(ppy)2PF6 | PhSNa | w/o | DMSO | ND |
| 14 d | Ir(dtbbpy)(ppy)2PF6 | PhSNa | HCO2K | DMSO | ND |
| 15 | Ir(dtbbpy)(ppy)2PF6 | w/o | HCO2K | DMSO | 42 |

a Reaction conditions: 1 (0.2 mmol), Ir (dtbbpy) (ppy)2PF6 (1 mol%), PhSNa (5 mol%), HCO2K (2 equiv.), DMSO (2 mL), RT, blue LED, 18 h. Yields determined by crude 1 H NMR using CH2Br2 as internal standard, isolated yield in parentheses. ND = not detected.
