Table 1 Screening of photoredox catalysts and azole nucleophiles for reaction between 1a and 2a a

![Image](Goto and Ohmiya - 2025 - Distal C–H functionalization of alkoxyarenes through organic photoredox-catalyzed radical–radical co_artifacts/image_000009_c48b1d95b425161be12077ef10d4f242cf1a15c20ee834216bc791814ac4428c.png)

|   Entry | Deviation from the standard conditions   | Yield of 3aa b (%)   | Recovery of 1a b (%)   |
|---------|------------------------------------------|----------------------|------------------------|
|       1 | None                                     | 78 (69) c            | 25                     |
|       2 | PC-2 instead of PC-1                     | 2                    | Quant.                 |
|       3 | PC-3 instead of PC-1                     | 0                    | Quant.                 |
|       4 | PC-4 instead of PC-1                     | 0                    | Quant.                 |
|       5 | PC-5 instead of PC-1                     | 1                    | Quant.                 |
|       6 | PC-6 instead of PC-1                     | 1                    | Quant.                 |
|       7 | Az-2 instead of Az-1                     | 11                   | 93                     |
|       8 | Az-3 instead of Az-1                     | 6                    | 12                     |
|       9 | Az-4 instead of Az-1                     | 0                    | 17                     |
|      10 | Az-5 instead of Az-1                     | 0                    | 3                      |
|      11 | Az-1 (1 equiv.)                          | 29                   | 32                     |
|      12 | Az-1 (50 mol%)                           | 14                   | 32                     |
|      13 | W/o PC-1                                 | 2                    | Quant.                 |
|      14 | W/o Az-1                                 | 0                    | 63                     |
|      15 | Under dark                               | 0                    | 124                    |
|      16 | 440 nm light source                      | 0                    | Quant.                 |
