Table 1. Optimization of reaction solvent and GAAS (50 wt%) at different conditions

|   Sr. No. | Solvent      | Quantity Solvent (mL)   | Temperature ( o C)   |   Time (min.) | Isolated Yields (%)   |
|-----------|--------------|-------------------------|----------------------|---------------|-----------------------|
|         1 | Solvent-free | --                      | RT a                 |           120 | NR b                  |
|         2 | Solvent-free | --                      | 100                  |           120 | NR b                  |
|         3 | H 2 O        | 5                       | RT a                 |           120 | Trace                 |
|         4 | H 2 O        | 5                       | Reflux               |           120 | 30                    |
|         5 | GAAS         | 3                       | RT a                 |           120 | 40                    |
|         6 | GAAS         | 4                       | RT a                 |           120 | 54                    |
|         7 | GAAS         | 5                       | RT a                 |           120 | 60                    |
|         8 | GAAS         | 6                       | RT a                 |           120 | 60                    |
|         9 | GAAS         | 5                       | 50                   |            70 | 72                    |
|        10 | GAAS         | 5                       | 60                   |            60 | 85                    |
|        11 | GAAS         | 5                       | 70                   |            45 | 92                    |
|        12 | GAAS         | 5                       | 80                   |            45 | 92                    |

RT a = Room Temperature, NR b = No Reaction (Product not formed).
