Table 1 Conditions optimization a , b

![Image](NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl__artifacts/image_000007_bd71bb713e04a98a2ec881f04ac3a5b759efb1794537f4452fb514d57f89d64f.png)

|       | NHCs        | PCs        | Solvent (mL)   | Yields   | Yields   |
|-------|-------------|------------|----------------|----------|----------|
| Entry | (15 mol%)   | (1.5 mol%) |                | 4        | 5        |
| 1     | NHC-1       | PC-1       | DCM (2)        | 10       | 10       |
| 2     | NHC-1       | PC-2       | DCM (2)        | 45       | 14       |
| 3     | NHC-1       | PC-3       | DCM (2)        | 65       | 12       |
| 4     | NHC-1       | PC-4       | DCM (2)        | 16       | 15       |
| 5     | NHC-1       | PC-5       | DCM (2)        | <5       | <5       |
| 6     | NHC-1       | PC-3       | CH 3 CN (2)    | 22       | 17       |
| 7     | NHC-1       | PC-3       | CF 3 Ph (2)    | 56       | 8        |
| 8     | NHC-1       | PC-3       | THF (2)        | 36       | 12       |
| 9 c   | NHC-1       | PC-3       | DCM (2)        | 37       | 25       |
| 10 d  | NHC-1       | PC-3       | DCM (2)        | 51       | 20       |
| 11    | NHC-2       | PC-3       | DCM (2)        | 15       | 14       |
| 12    | NHC-3       | PC-3       | DCM (2)        | <5       | 20       |
| 13    | NHC-4       | PC-3       | DCM (2)        | 60       | 17       |
| 14    | NHC-5       | PC-3       | DCM (2)        | 40       | 12       |
| 15    | NHC-6       | PC-3       | DCM (2)        | 53       | 6        |
| 16    | NHC-1       | PC-3       | DCM (1)        | 29       | 9        |
| 17    | NHC-1       | PC-3       | DCM (4)        | 80       | <5       |
| 18 e  | NHC-1       | PC-3       | DCM (8)        | 75       | <5       |
| 19 e  | rac - NHC-1 | PC-3       | DCM (8)        | 75       | <5       |
| 20 f  | rac - NHC-1 | PC-3       | DCM (8)        | 26       | 8        |

a Unless otherwise noted, all the reactions were carried out with 1a (0.1 mmol), 2a (0.2 mmol), 3a (0.2 mmol), NHCs (0.015 mmol), Cs2CO3 (0.2 mmol), and PCs (0.0015 mmol) in anhydrous solvent, and irradiation with a blue LED (453.5 nm, 10 W) at room temperature for 4 h. b Isolated yields. c CsOAc (0.2 mmol) was used as a base. d K2CO3 (0.2 mmol) was used as a base. e 0.2 mmol scale reaction was conducted. f Benzoic anhydride (0.4 mmol) was used instead of 2a .
