Table 1 Reaction development a

![Image](NN_atropisomer_synthesis_iviai_electrolyte-_and_base-free_electrochemical_cobalt-catalysed_CH_annulation_artifacts/image_000008_e1b79b114ae441cf5a89a529feb0ce68fa4312965580fb810a945ae5da4f92f1.png)

3

| Entry                                              | Reaction condition                                 | Yield,%                                            | ee,%                                               |
|----------------------------------------------------|----------------------------------------------------|----------------------------------------------------|----------------------------------------------------|
| 1                                                  | NaOPiv·H 2 O (2 equiv.), 2.0 mA, air               | 40                                                 | 96                                                 |
| 2                                                  | NaOPiv·H 2 O (2 equiv.), 1.0 mA, air               | 49                                                 | 96                                                 |
| 3                                                  | NaOPiv·H 2 O (1 equiv.), 1.0 mA, air               | 63                                                 | 96                                                 |
| 4                                                  | NaOPiv·H 2 O (1 equiv.), 1.0 mA, N 2               | 65                                                 | 95                                                 |
| 5                                                  | NaOPiv·H 2 O (1 equiv.), 1.0 mA, O 2               | 71                                                 | 96                                                 |
| 6                                                  | 1.0 mA, O 2                                        | 71                                                 | 96                                                 |
| Further variation from optimal condition (entry 6) | Further variation from optimal condition (entry 6) | Further variation from optimal condition (entry 6) | Further variation from optimal condition (entry 6) |
| 7                                                  | C as anode                                         | 8                                                  | 96                                                 |
| 8                                                  | GF as cathode                                      | 25                                                 | 96                                                 |
| 9                                                  | Running at 60 °C                                   | 26                                                 | 96                                                 |
| 10                                                 | Salox- 1 - 10                                      | As below                                           | 96                                                 |
| 11 12                                              | 15 mol% Salox- 9 25 mol% Salox- 9                  | 25 70                                              | 96                                                 |
| 13                                                 | MeOH, HFIP, MeCN, DMSO                             | <1                                                 | -                                                  |
| 14                                                 | No Co(OAc) 2 ·4H 2 O                               | <1                                                 | -                                                  |
| 15                                                 | No electricity                                     | <1                                                 | -                                                  |

a Conditions: 1a (0.08 mmol), 2a (0.16 mmol), Co(OAc)2·4H2O (10 mol%), Salox9 (20 mol%), TFE (2 mL), undivided cell with graphite felt (GF) anode (10 mm × 20 mm × 2 mm) and platinum plate (Pt) cathode (10 mm × 20 mm × 0.3 mm), constant current, 80 °C, 6 h; isolated yields and enantioselective excess (ee) determined by HPLC with a chiral stationary phase. b NaOPiv·H2O (1 equiv.).
