Table 1. Optimization of aziridine alkylation with benzaldehyde dialkyl acetals.

![Image](NiPhotoredox-Catalyzed_Csp_sup3sup_Csp_sup3sup__Coupling_between_Aziridines_and_Acetals_as_Alcohol-Derived_Alkyl_Radical_artifacts/image_000003_64c63d505ad11051e0ef8b46aa7b089dec13d56621c1fbcaa607bf854b264fdd.png)

|   Entry | Acetal   | [Ni]          | Light intensity   | Temp   | Yield (%)   |   Yield (%) |   Yield (%) |   Yield (%) |
|---------|----------|---------------|-------------------|--------|-------------|-------------|-------------|-------------|
|         | equiv    |               | /no. of lamps     | (°C)   | 3 (rsm)     |           4 |           5 |           6 |
|       1 | 1.8      | Ni(COD) 2     | 25%/1             | 25 a,b | 22 (59)     |           3 |          12 |           7 |
|       2 | 1.8      | Ni(COD) 2     | 25%/1             | 25 b   | 32 (50)     |           2 |          10 |           7 |
|       3 | 1.8      | Ni(COD) 2     | 25%/2             | 28 b   | 68          |           4 |          10 |           6 |
|       4 | 1.8      | Ni(COD) 2     | 50%/2             | 31 b   | 70          |           4 |           5 |           6 |
|       5 | 2.4      | Ni(COD) 2     | 50%/2             | 31 b   | 79          |           4 |           7 |           5 |
|       6 | 2.4      | Ni(COD) 2     | 50%/1             | 26 b   | 34          |           3 |          22 |           5 |
|       7 | 2.4      | Ni(COD) 2     | 50%/1             | 38 c   | 72          |           5 |           7 |           5 |
|       8 | 2.4      | NiBr 2 •glyme | 50%/1             | 38 c   | 82          |           6 |           5 |           4 |
|       9 | 1.1      | NiBr 2 •glyme | 50%/1             | 38 c   | 58          |          10 |           8 |           7 |
|      10 | 1.8      | NiBr 2 •glyme | 50%/1             | 38 c   | 68          |           8 |          10 |           7 |
|      11 | 2.4      | NiBr 2 •glyme | 50%/1             | 38 c   | 47          |          11 |          12 |           3 |
|      12 | 2.4      | NiBr 2 •glyme | 50%/1             | 38 c,d | 65          |           7 |          14 |           5 |

Reactions performed on 0.1 mmol scale, with 1-fluoronaphthalene as the external standard ( 19 F NMR yield for 3 , 4 , 6 , 1 H NMR yield for 5 ). Entries 1-2 were performed at 0.04M, and entries 3-10 were performed at 0.057M. For reactions with 25% intensity, vials were placed 1.5 cm away from Kessil lamp and for 50% intensity, vials were placed 3cm away. Entries without (rsm) showed full conversion of the aziridine. a NH 4 Br was used instead of LiBr b Three fans were used to cool the reaction. c No fans were used to cool the reaction. d Reaction was setup on the benchtop under an inert atmosphere. Reaction with either no light, no photocatalyst, no nickel, or no nickel/ligand all gave 0% yield of the desired product.
