Table 1 Control experiments on the model reaction a

| Entry   | Deviation       | Yield 1 b (%)   |
|---------|-----------------|-----------------|
| 1       | None            | 40              |
| 2       | No light        | n.d.            |
| 3       | NiCl 2 $ 6H 2 O | n.d.            |
| 4       | Carbon nitride  | n.d.            |
| 5       | No DABCO        | 40 (96 c )      |
| 6 d     | TEOA            | n.d.            |
| 7 e     | AgNO 3          | n.d.            |
| 8 f     | TEMPO           | n.d.            |
| 9       | NiNP/CN         | n.d.            |
| 10      | Quinuclidine    | 79              |

a Reaction conditions: ethyl 4-bromobenzoate (0.1 mmol), pyrrolidine (0.3 mmol), DABCO (0.15 mmol), NiSAC/CN (10 mg), DMA (1 mL), blue LED, 55 °C, 20 h. b Yields were determined by GC using 4,4′-di-tert-butylbiphenyl as an internal standard. c 0.5 mmol of pyrrolidine was used. d 0.1 mmol of TEOA was added. e 0.1 mmol of AgNO3 was added. f 0.1 mmol of TEMPO was added. n.d. = not detected.
