Table 1 Optimization of the reaction conditions a

|   Entry | Nickel source     | Ligand   | Reductant          | Solvent   | Yield a /%   |
|---------|-------------------|----------|--------------------|-----------|--------------|
|       1 | NiBr 2 (diglyme)  | L1       | Zn                 | DMAc      | 23           |
|       2 | NiBr 2 (diglyme)  | L2       | Zn                 | DMAc      | 32           |
|       3 | NiBr 2 (diglyme)  | L3       | Zn                 | DMAc      | 47           |
|       4 | NiBr 2 (diglyme)  | L4       | Zn                 | DMAc      | 79           |
|       5 | NiCl 2            | L4       | Zn                 | DMAc      | 33           |
|       6 | Ni(NO 3 ) 2       | L4       | Zn                 | DMAc      | <5           |
|       7 | Ni(acac) 2        | L4       | Zn                 | DMAc      | 26           |
|       8 | NiCl 2 (Py) 4     | L4       | Zn                 | DMAc      | 75           |
|       9 | NiCl 2 (PPh 3 ) 2 | L4       | Zn                 | DMAc      | 23           |
|      10 | NiCl 2 (PCy 3 ) 2 | L4       | Zn                 | DMAc      | 17           |
|      11 | NiBr 2 (diglyme)  | L4       | Zn                 | Dioxane   | <5           |
|      12 | NiBr 2 (diglyme)  | L4       | Zn                 | DME       | 22           |
|      13 | NiBr 2 (diglyme)  | L4       | Zn                 | THF       | 43           |
|      14 | NiBr 2 (diglyme)  | L4       | Zn                 | MeCN      | <5           |
|      15 | NiBr 2 (diglyme)  | L4       | Zn                 | NMP       | 54           |
|      16 | NiBr 2 (diglyme)  | L4       | Zn                 | DMF       | 60           |
|      17 | NiBr 2 (diglyme)  | L4       | Zn                 | DMSO      | 95 (92 b )   |
|      18 | NiBr 2 (diglyme)  | L4       | Mn                 | DMSO      | 64           |
|      19 | NiBr 2 (diglyme)  | L4       | DEMS/Na 2 CO 3     | DMSO      | 18           |
|      20 | NiBr 2 (diglyme)  | L4       | (BPin) 2 /K 3 PO 4 | DMSO      | 22           |

a GC yield. Triphenylmethane was used as an internal standard. b Isolated yield. rt ¼ room temperature. Diglyme ¼ 2-methoxyethyl ether. acac ¼ Acetylacetone. Py ¼ pyridine. Cy ¼ cyclohexyl. DMAc ¼ N , N -dimethylacetamide. DME ¼ 1,2-dimethoxyethane. THF ¼ tetrahydrofuran. NMP ¼ 1-methyl-2-pyrrolidinone. DMF ¼ N , N -dimethylformamide. DMSO ¼ dimethyl sulfoxide. DEMS ¼ diethoxymethylsilane. (BPin)2 ¼ bis(pinacolato)diboron.
