Table 1 Optimization studies for the formation of 1-naphthylamine 2a

| Entry   | Catalyst            | Ligand                   | Base        | Solvent     |   Time [h] | Yield a [%]   |
|---------|---------------------|--------------------------|-------------|-------------|------------|---------------|
| 1       | Ni(COD) 2           | PPh 3 b                  | -           | 1,4-Dioxane |          3 | Trace         |
| 2       | Ni(acac) 2 $ 2H 2 O | PPh 3                    | -           | 1,4-Dioxane |         24 | 18            |
| 3       | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | -           | 1,4-Dioxane |         24 | 17            |
| 4       | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | t BuOK      | 1,4-Dioxane |          4 | 66            |
| 5       | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | Cs 2 CO 3   | 1,4-Dioxane |          3 | 73            |
| 6       | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | CsF         | 1,4-Dioxane |          6 | 67            |
| 7       | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | K 2 CO 3    | 1,4-Dioxane |         10 | 31            |
| 8       | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | Cs 2 CO 3 c | 1,4-Dioxane |          3 | 68            |
| 9       | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | Cs 2 CO 3 d | 1,4-Dioxane |         10 | 8 (59)        |
| 10 e    | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | Cs 2 CO 3   | 1,4-Dioxane |          3 | 74            |
| 11      | Ni(acac) 2 $ 2H 2 O | PPh 3                    | Cs 2 CO 3   | 1,4-Dioxane |          5 | 69            |
| 12      | Ni(acac) 2 $ 2H 2 O | P( p -MeC 6 H 4 ) 3      | Cs 2 CO 3   | 1,4-Dioxane |          4 | 68            |
| 13      | Ni(acac) 2 $ 2H 2 O | P(C 6 F 5 ) 3            | Cs 2 CO 3   | 1,4-Dioxane |          5 | 63            |
| 14      | Ni(acac) 2 $ 2H 2 O | PPh 2 Me                 | Cs 2 CO 3   | 1,4-Dioxane |          7 | 45            |
| 15      | Ni(acac) 2 $ 2H 2 O | PCy 3                    | Cs 2 CO 3   | 1,4-Dioxane |         17 | 55            |
| 16      | Ni(acac) 2 $ 2H 2 O | IPr                      | Cs 2 CO 3   | 1,4-Dioxane |          6 | 64            |
| 17      | Ni(acac) 2 $ 2H 2 O | IPr                      | t BuOK      | 1,4-Dioxane |          7 | 62            |
| 18      | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | Cs 2 CO 3   | THF         |          8 | 64            |
| 19      | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | Cs 2 CO 3   | Toluene     |          3 | 68            |
| 20 f    | Ni(acac) 2 $ 2H 2 O | P( p -CF 3 C 6 H 4 ) 3   | Cs 2 CO 3   | 1,4-Dioxane |          6 | 57            |
| 21      | Ni(acac) 2          | P( p -CF 3 C 6 H 4 ) 3   | Cs 2 CO 3   | 1,4-Dioxane |          3 | 72            |
| 22      | Ni(COD) 2           | P( p -CF 3 C 6 H 4 ) 3 b | Cs 2 CO 3   | 1,4-Dioxane |          9 | Trace         |
| 23      | Ni(acac) 2 $ 2H 2 O | -                        | Cs 2 CO 3   | 1,4-Dioxane |          5 | 65            |
| 24      | -                   | P( p -CF 3 C 6 H 4 ) 3   | Cs 2 CO 3   | 1,4-Dioxane |         10 | (99)          |
