Table 1 Transformation of THIQ 1 to its iminium salt - initial studies and reaction optimization a

| Entry   |   Equiv. of CBrCl 3 | Light source   | Temperature   |   Reaction time b | Yield c (%)   |
|---------|---------------------|----------------|---------------|-------------------|---------------|
| 1       |                 3.0 | Blue LEDs      | rt            |                30 | 91            |
| 2       |                 1.0 | Blue LEDs      | rt            |                30 | 97            |
| 3       |                 1.0 | Blue LEDs      | rt            |                60 | 99            |
| 4       |                 1.5 | Blue LEDs      | rt            |                30 | Quant.        |
| 5       |                 1.5 | 22 W CWF bulb  | rt            |                30 | Quant.        |
| 6       |                 1.5 | Sunlight       | rt            |                30 | 91            |
| 7       |                 1.5 | No light       | 70 1 C        |                30 | 23            |
| 8       |                 1.5 | Green LEDs     | rt            |                30 | 14            |
| 9 d     |                 1.5 | Blue LEDs      | rt            |                30 | 95            |

a 0.25 mmol of THIQ in 0.5 mL acetonitrile, x mmol of CBrCl3 as noted. b In min. c Determined by 1 HNMRspectroscopy using bromoform (1 equiv.) as internal standard. d Large scale experiment using 2.5 mmol of THIQ.
