Table 1. Optimization of Various Reaction Conditions for the Synthesis of 2-Amino-5-oxo-4-phenyl-5,6,7,8tetrahydro-4 H -chromene-3-carbonitrile a

| entry   | catalyst (g, mmol)   |   time (min) | temp. ( °   | isolated yield (%)   |
|---------|----------------------|--------------|-------------|----------------------|
| 1       | 0.002, 2.04 × 10 - 3 |           45 | r.t.        | 20                   |
| 2       | 0.002, 2.04 × 10 - 3 |           45 | 40          | 25                   |
| 3       | 0.002, 2.04 × 10 - 3 |           45 | 50          | 43                   |
| 4       | 0.002, 2.04 × 10 - 3 |           45 | 60          | 70                   |
| 5       | 0.002, 2.04 × 10 - 3 |           45 | 70          | 80                   |
| 6 b     | 0.002, 2.04 × 10 - 3 |           45 | reflux      | 90                   |
| 7       | 0.002, 2.04 × 10 - 3 |           30 | reflux      | 65                   |
| 8       | 0.002, 2.04 × 10 - 3 |           60 | reflux      | 93                   |
| 9       | 0.004, 4.08 × 10 - 3 |           45 | reflux      | 93                   |
| 10      | 0.003, 3.06 × 10 - 3 |           45 | reflux      | 92                   |
| 11      | -                    |           45 | reflux      | trace                |

a Multicomponent reagents: benzaldehyde (0.106 g, 1.0 mmol), malononitrile (0.066 g, 1.0 mmol), and 1,3-cyclohexanedione (0.112 g, 1.0 mmol). b Optimized reaction conditions.
