Table 1 Condition optimization for thiocarbonylation of styrene a

![Image](Palladium-catalyzed_thiocarbonylation_of_alkenes_toward_branched_thioesters_using_COsub2sub_artifacts/image_000011_fd1c41c88c90908fc65e8dd97f28eca98475ed933898cc1d8c3a5787b1d0b63e.png)

| Entry   | [Pd]              | L        | Reductant   | Yield of 3a /%   | Yield of 4a /%   |
|---------|-------------------|----------|-------------|------------------|------------------|
| 1       | PdCl 2            | -        | PhSiH 3     | <1               | <1               |
| 2       | PdCl 2            | PCy 3    | PhSiH 3     | 48               | <1               |
| 3       | PdCl 2            | Xantphos | PhSiH 3     | 7                | 36               |
| 4       | PdCl 2 (PCy 3 ) 2 | -        | PhSiH 3     | 65               | <1               |
| 5       | PdCl 2 (PCy 3 ) 2 | L1       | PhSiH 3     | 84               | <1               |
| 6       | PdCl 2 (PCy 3 ) 2 | L2       | PhSiH 3     | 70               | <1               |
| 7       | PdCl 2 (PCy 3 ) 2 | L3       | PhSiH 3     | 74               | <1               |
| 8       | PdCl 2 (PCy 3 ) 2 | L4       | PhSiH 3     | 41               | 23               |
| 9       | PdCl 2 (PCy 3 ) 2 | L1       | Ph 2 SiH 2  | 57               | <1               |
| 10      | PdCl 2 (PCy 3 ) 2 | L1       | PMHS        | 9                | 1                |
| 11      | PdCl 2 (PCy 3 ) 2 | L1       | Et 3 SiH    | <1               | 0                |
| 12 b    | PdCl 2 (PCy 3 ) 2 | L1       | H 2         | 2                | <1               |
| 13 c    | PdCl 2 (PCy 3 ) 2 | L1       | PhSiH 3     | 34               | 2                |
| 14 d    | PdCl 2 (PCy 3 ) 2 | L1       | PhSiH 3     | 12               | 4                |
| 15 e    | PdCl 2 (PCy 3 ) 2 | L1       | PhSiH 3     | 78               | <1               |

a Reaction conditions: 1a (0.2 mmol), 2a (1.7 equiv.), [Pd] (5.0 mol%), monophosphine ligand (10.0 mol%), bidentate phosphine ligand (5.0 mol%), [Si -H] (1.8 equiv.), CO2 (20 bar), 80 °C, 18 h. PMHS = polymethylhydrosilane. b H2 (10 bar). c p -TsOH (20.0 mol%). d B(OH)3 (20.0 mol%). e PdCl2(PCy3)2 (2.0 mol%). Yields of 3a and 4a were determined by GC analysis using dodecane as the internal standard.
