Table 1 Optimization of photocatalytic reverse polarity Povarov reaction

| Entry   | HE ( x mol%)   | Light source   | 3a c       | dr     |
|---------|----------------|----------------|------------|--------|
| 1       | HE1 (120 mol%) | LED bath       | 64         | 7 : 1  |
| 2       | HE1 (60 mol%)  | LED bath       | 84         | 7 : 1  |
| 3       | HE4 (60 mol%)  | LED bath       | 100 (56) d | 10 : 1 |
| 4       | HE6 (60 mol%)  | LED bath       | 99         | 11 : 1 |
| 5       | HE4 (10 mol%)  | LED bath       | 54         | 8 : 1  |
| 6       | HE4 (10 mol%)  | Photoreactor   | 95 (90) d  | 10 : 1 |
| 7 e     | HE4 (10 mol%)  | Photoreactor   | 93 (88) d  | 10 : 1 |
| 8 e     | -              | Photoreactor   | -          | -      |
| 9 e , f | HE4 (10 mol%)  | Photoreactor   | -          | -      |
| 10 e    | HE4 (10 mol%)  | -              | -          | -      |

a General reaction conditions: 1a (0.25 mmol), phenyl vinyl sulfone (1.25 mmol, 5 eq.), (Ir[dF(CF3)ppy]2(dtbbpy))PF6 (0.0025 mmol), Hantzsch ester derivatives ( x mol%), DMSO (1 mL). b For further details on blue light source see ESI. c 19 F NMR yield determined by direct conversion between 1a and 3a (major + minor diastereoisomer) including by-products. d Isolated yield a  er silica gel column chromatography. e 2 eq. phenyl vinyl sulfone used. f Without the iridium catalyst.
