Table 1 Optimization of the conditions. a.

| Entry   |   Cat (mol%) | Base (x eq)    |   Light (nm) |   Conv (%) b A |   Yield (%) b B |   Yield (%) b C |
|---------|--------------|----------------|--------------|----------------|-----------------|-----------------|
| 1 a     |            1 | NaOH (2)       |          440 |             98 |              11 |              82 |
| 2 c     |              | NaOH (2)       |          440 |              0 |               0 |               0 |
| 3 d     |            1 |                |          440 |             20 |              17 |               0 |
| 4 e     |            1 | NaOH (1)       |          440 |             75 |              38 |              35 |
| 5 e     |            1 | NaOH (0.02)    |          440 |             21 |              21 |               0 |
| 6       |            1 | KOH (2)        |          440 |             97 |              10 |              83 |
| 7       |            1 | Cs 2 CO 3 (1)  |          440 |             58 |              47 |               9 |
| 8       |            1 | K 2 CO 3 (1.5) |          440 |             22 |              18 |               3 |
| 9 c     |            1 | NaOH (2)       |              |             41 |              18 |              21 |
| 10 d    |            1 | NaOH (2)       |          390 |             70 |              41 |              28 |
| 11 d    |            1 | NaOH (2)       |          427 |             98 |              14 |              84 |
| 12 d    |            1 | NaOH (2)       |          525 |             10 |               6 |               4 |
| 13 e    |            1 | NaOH (2)       |          440 |             63 |              38 |              25 |
| 14 f    |            1 | NaOH (2)       |          440 |            100 |               8 |              87 |
| 15 g    |            1 | NaOH (2)       |          440 |              7 |               2 |               2 |
| 16 h    |            1 | NaOH (2)       |          440 |             95 |              23 |              72 |
