Table 1 Optimization of the reaction conditions a

| Entry   | Deviation from standard conditions   | Yield of 3 ′ aa b [%]   | Yield of 4aa b [%]   |
|---------|--------------------------------------|-------------------------|----------------------|
| 1       | None                                 | 95 (89)                 | 4                    |
| 2       | Ir-1 instead of 4CzIPN               | 84                      | 4                    |
| 3       | Ir-2 instead of 4CzIPN               | 76                      | 4                    |
| 4       | Ir-3 instead of 4CzIPN               | 12                      | 1                    |
| 5       | Ru-1 instead of 4CzIPN               | 83                      | 2                    |
| 6       | Without 4CzIPN                       | -                       | -                    |
| 7       | LiF instead of LiCl                  | 44                      | 3                    |
| 8       | LiBF 4 instead of LiCl               | 39                      | 5                    |
| 9       | LiOAc instead of LiCl                | 43                      | 7                    |
| 10      | NaCl instead of LiCl                 | 20                      | 2                    |
| 11      | KCl instead of LiCl                  | 26                      | 3                    |
| 12      | Without LiCl                         | 62                      | 3                    |
| 13      | 2 eq. instead of 4 eq. of LiCl       | 82                      | 5                    |
| 14      | Add 20 mol% Q-1                      | 46                      | 24                   |
| 15      | Add 20 mol% Q-2                      | 48                      | 15                   |
| 16      | DMF instead of DMSO                  | 80                      | 15                   |
| 17      | MeCN instead of DMSO                 | 8                       | 44                   |
| 18      | THF instead of DMSO                  | 8                       | 28                   |
| 19 c    | 0.025 Minstead of 0.1M               | 56                      | 19                   |
| 20      | 2 eq. instead of 6 eq. of 1a         | 79                      | 9                    |
| 21      | 4 eq. instead of 6 eq. of 1a         | 73                      | 11                   |
| 22      | 7 eq. instead of 6 eq. of 1a         | 94                      | 3                    |
