Table 1 Catalyst screening and optimization of reaction conditions a

![Image](Ptscpiiscp_coordination_complexes_as_visible_light_photocatalysts_for_the_oxidation_of_sulfides_using_batch_and_flow_pro_artifacts/image_000005_9ca50b33e80f3f11b9be737d7f26f757b8dd149da5e11967f168ee175a1d655d.png)

1a (Y= O, X'=H)

1d (X1= CI, X2= CI)

|   Entry | Catalyst (mol%)    | Solvent    |   Time (h) | Conversion b (%)   |
|---------|--------------------|------------|------------|--------------------|
|       1 | 1a (5)             | DMF        |         24 | 34                 |
|       2 | 1b (5)             | DMF        |         24 | o 5                |
|       3 | 1c (5)             | DMF        |         24 | 100                |
|       4 | 1d (5)             | DMF        |         24 | 100                |
|       5 | 1e (5)             | DMF        |         24 | o 5                |
|       6 | 1f (5)             | DMF        |         24 | 100                |
|       7 | 1c (2)             | DMF        |         24 | 100                |
|       8 | 1d (2)             | DMF        |         24 | 44                 |
|       9 | 1f (2)             | DMF        |         24 | 40                 |
|      10 | Ru(bpy) 3 Cl 2 (2) | DMF        |         24 | 68                 |
|      11 | Ir(ppy) 3 (2)      | DMF        |         24 | 85                 |
|      12 | 1c (1)             | DMF        |         24 | 65                 |
|      13 | 1c (1)             | CH 2 Cl 2  |         24 | 51                 |
|      14 | 1c (1)             | Toluene    |         24 | 10                 |
|      15 | 1c (1)             | MeOH       |         24 | 96                 |
|      16 | 1c (1)             | EtOH       |         24 | 61                 |
|      17 | 1c (1)             | EtOH:H 2 O |         24 | 100                |
|      18 | 1c (1) c           | EtOH:H 2 O |         21 | 100                |
|      19 | 1c (2) c           | EtOH:H 2 O |         10 | 100                |
