Table 1 Optimisation of reaction conditions a

| Entry   | NHC   | PC   | Solvent   | Base      | Yield b (%)   |
|---------|-------|------|-----------|-----------|---------------|
| 1       | N1    | PC1  | Acetone   | Cs 2 CO 3 | 25            |
| 2       | N1    | PC2  | Acetone   | Cs 2 CO 3 | <5            |
| 3       | N1    | PC3  | Acetone   | Cs 2 CO 3 | 15            |
| 4       | N1    | PC4  | Acetone   | Cs 2 CO 3 | 61            |
| 5       | N1    | PC5  | Acetone   | Cs 2 CO 3 | 51            |
| 6       | N2    | PC4  | Acetone   | Cs 2 CO 3 | 8             |
| 7       | N3    | PC4  | Acetone   | Cs 2 CO 3 | <5            |
| 8       | N4    | PC4  | Acetone   | Cs 2 CO 3 | 22            |
| 9       | N5    | PC4  | Acetone   | Cs 2 CO 3 | <5            |
| 10      | N6    | PC4  | Acetone   | Cs 2 CO 3 | 5             |
| 11      | N7    | PC4  | Acetone   | Cs 2 CO 3 | <5            |
| 12      | N1    | PC4  | Toluene   | Cs 2 CO 3 | 44            |
| 13      | N1    | PC4  | MeCN      | Cs 2 CO 3 | 42            |
| 14      | N1    | PC4  | DCM       | Cs 2 CO 3 | 42            |
| 15      | N1    | PC4  | DMF       | Cs 2 CO 3 | 27            |
| 16      | N1    | PC4  | Acetone   | K 2 CO 3  | 43            |
| 17      | N1    | PC4  | Acetone   | NaOAc     | 15            |
| 18      | N1    | PC4  | Acetone   | Et 3 N    | <5            |
| 29      | N1    | PC4  | Acetone   | DBU       | 33            |
| 20 c    | N1    | PC4  | Acetone   | Cs 2 CO 3 | 36            |
| 21 d    | N1    | PC4  | Acetone   | Cs2CO3    | 71            |
| 22 e    |       |      | Acetone   | Cs CO     | 64            |

a Unless noted otherwise, reactions were performed with 0.10 mmol of 1a , 0.20 mmol of 2a , 0.02 mmol of NHC catalyst N , 0.10 mmol of base and 2 mol% of photocatalyst PC in 1 mL solvent at room temperature for 3 h. b Isolated yields. c 0.5 mL solvent. d 2.0 mL solvent. e 3.0 mL solvent.
