Table 1 Optimization of reaction conditions a

| Entry   | Cat.   | Solvent   | Amount of base   |   T (°C) | Yield b of 3aa (%)   | Yield b of 4aa (%)   |
|---------|--------|-----------|------------------|----------|----------------------|----------------------|
| 1       | A      | CH 3 CN   | 2 equiv.         |       60 | 14                   | 25                   |
| 2       | A      | CH 3 CN   | 4 equiv.         |       60 | 41                   | 33                   |
| 3       | A      | CH 3 CN   | 4 equiv.         |       40 | 85                   | Trace                |
| 4       | A      | CH 3 CN   | 4 equiv.         |       25 | 75                   | 15                   |
| 5 c     | A      | CH 3 CN   | 4 equiv.         |       40 | 88(86)               | Trace                |
| 6 c     | A      | 0 PrOH    | 4 equiv.         |       40 | 68                   | 10                   |
| 7 c     | A      | DMSO      | 4 equiv.         |       40 | 79                   | 8                    |
| 8 c     | A      | Dioxane   | 4 equiv.         |       40 | 22                   | Trace                |
| 9 c     | A      | THF       | 4 equiv.         |       40 | 35                   | 6                    |
| 10 c    | A      | MTBE      | 4 equiv.         |       40 | 8                    | Trace                |
| 11 c    | B      | CH 3 CN   | 4 equiv.         |       40 | 60                   | 10                   |
| 12 c    | C      | CH 3 CN   | 4 equiv.         |       40 | 10                   | 31                   |
| 13 c    | D      | CH 3 CN   | 4 equiv.         |       40 | 62                   | 10                   |
| 14 c    | E      | CH 3 CN   | 4 equiv.         |       40 | 6                    | n.d.                 |
| 15 d    | A      | DMSO      | 4 equiv.         |       60 | 85(82)               | Trace                |
| 16      | A      | CH 3 OH   | 4 equiv.         |       60 | 10                   | 89(88)               |
