Table 1. Optimization and control reactions for   the   alkylation   of   lepidine   (1)   with oxalate precursor 2.

|   Entr y | P C   | (NH 4 ) 2 S 2 O 8   | HCl     | Conditio ns   | Yield    |
|----------|-------|---------------------|---------|---------------|----------|
|        1 | I     | 2 equiv             | 1 equiv | h  , 60 ° C  | 95%      |
|        2 | -     | 2 equiv             | 1 equiv | h  , 60 ° C  | 94%      |
|        3 | -     | 2 equiv             | 1 equiv | 65 ° C        | 89%      |
|        4 | -     | 2 equiv             | 1 equiv | 30 ° C        | N.R.     |
|        5 | I     | 2 equiv             | 1 equiv | h  , 30 ° C  | 94%      |
|        6 | -     | 2 equiv             | 1 equiv | h  , 30 ° C  | 6%       |
|        7 | I     | -                   | 1 equiv | h  , 30 ° C  | N.R.     |
|        8 | I     | 2 equiv             | -       | h  , 30 ° C  | 93%      |
|        9 | I     | 1.5 equiv           | -       | h  , 30 ° C  | 94% a, b |
|       10 | I     | 1.5 equiv           | -       | h  , 30 ° C  | 87% c    |
|       11 | II    | 1.5 equiv           | -       | h  , 30 ° C  | 96% b, d |

![Image](Tertiary_Alcohols_as_Radical_Precursors_for_the_Introduction_of_Tertiary_Substituents_into_Heteroarenes_artifacts/image_000002_79d90dcc8f77f4db95e5943bdebd4250157132ba8d6a45abd5e37c62a91e7779.png)

a Reaction was performed at 0.5 mmol scale.  b yield of isolated purified product.  c Reaction was performed under air.  d Reaction was irradiated for 1 h.
