Table 1 Optimization of reaction conditions a .

| Entry   |   B 2 cat 2 | PC (mol%)                   | Light   | Additive     | Yield a,b (%)   |
|---------|-------------|-----------------------------|---------|--------------|-----------------|
| 1       |         3.0 | Ir( p -CF 3 ppy) 3 (2 mol%) | 456nm   | Et 3 N (2.0) | 45              |
| 2       |         3.0 | Ir( p -CF 3 ppy) 3 (2 mol%) | 456nm   | DABCO (2.0)  | 15              |
| 3       |         3.0 | Ir( p -CF 3 ppy) 3 (2 mol%) | 456nm   | DIPEA (2.0)  | 47              |
| 4       |         3.0 | Ir( p -CF 3 ppy) 3 (2 mol%) | 456nm   | none         | trace           |
| 5 c     |         3.0 | Ir( p -CF 3 ppy) 3 (2 mol%) | 456nm   | DIPEA (2.0)  | 49              |
| 6       |         3.0 | Ir(ppy) 3 (2 mol%)          | 456nm   | DIPEA (2.0)  | 30              |
| 7       |         3.0 | [Ru(bpy) 3 ]Cl 2 (2 mol%)   | 456nm   | DIPEA (2.0)  | trace           |
| 8       |         3.0 | 4CzIPN (2 mol%)             | 456 nm  | DIPEA (2.0)  | trace           |
| 9       |         3.0 | Eosin Y (2 mol%)            | 456 nm  | DIPEA (2.0)  | 47              |
| 10      |         3.0 | Eosin Y (2 mol%)            | 467 nm  | DIPEA (2.0)  | 73              |
| 11      |         3.0 | Eosin Y (5 mol%)            | 467 nm  | DIPEA (2.0)  | 77              |
| 12      |         2.5 | Eosin Y (5 mol%)            | 467 nm  | DIPEA (2.0)  | 81 (73)         |
| 13      |         4.0 | Eosin Y (5 mol%)            | 467 nm  | DIPEA (2.0)  | 40              |
| 14      |         2.5 | Eosin Y (5 mol%)            | 467 nm  | DIPEA (1.5)  | 54              |
| 15      |         2.5 | None                        | 467 nm  | DIPEA (2.0)  | trace           |
| 16      |         2.5 | Eosin Y (5 mol%)            | none    | DIPEA (2.0)  | trace           |
| 17      |         2.5 | Eosin Y (5 mol%)            | 467 nm  | None         | trace           |
| 18 d    |         2.5 | Eosin Y (5 mol%)            | none    | DIPEA (2.0)  | trace           |
| 19 e    |         2.5 | Eosin Y (5 mol%)            | 467 nm  | DIPEA (2.0)  | trace           |
| 20 f    |         2.5 | Eosin Y (5 mol%)            | 467 nm  | DIPEA (2.0)  | 76              |

f The reaction was set up in air.
