Table 1. Three-component dicarbofunctionalization using benzylic radicals.

![Image](Visible-Light-Mediated_Deaminative_Three-Component_Dicarbofunctionalization_of_Styrenes_with_Benzylic_Radicals_artifacts/image_000005_fdaecc0644628c101b731a8be71a77c2c5031dea7068b1bf7dacafef3aba5195.png)

| Entry   | X   | PC                          | Additive   | Yield f   |
|---------|-----|-----------------------------|------------|-----------|
| 1 a     | 1a  | [Ir(dtbbpy)(ppy) 2 ](PF 6 ) | -          | Traces    |
| 2 a     | 1a  | fac -Ir(ppy) 3              | -          | Traces    |
| 3 a     | 1a  | [Ir(dtbbpy)(ppy) 2 ](PF 6 ) | K 2 CO 3 d | 15%       |
| 4 a     | 1a  | fac -Ir(ppy) 3              | K 2 CO 3 d | 18%       |
| 5 a     | 1b  | [Ir(dtbbpy)(ppy) 2 ](PF 6 ) | -          | 48%       |
| 6 b     | 1b  | [Ir(dtbbpy)(ppy) 2 ](PF 6 ) | -          | 63% g     |
| 7 b     | 1b  | [Ir(dtbbpy)(ppy) 2 ](PF 6 ) | NaCl e     | 29%       |
| 8 b    | 1b   | [Ir(dtbbpy)(ppy) 2 ](PF 6 )   | NaI e   | 3%   |
| 9 b, c | 1c   | [Ir(dtbbpy)(ppy) 2 ](PF 6 )   | -       | 20%  |

a Conditions: 1 (0.10 mmol), 2a (0.15 mmol), 3a (0.15 mmol) and PC (1.0 mol%) in MeCN (0.2 M) under argon. b Conditions: 1 (0.20 mmol), 2a (0.30 mmol), 3a (0.30 mmol) and PC (1.0 mol%) in MeCN (1.0 M) under argon. c Reaction on a 0.30 mmol scale. d Additive (2.0 equiv.). e Additive (1.0 equiv.). f Yield determined by calibrated GC-FID analysis with mesitylene as internal standard. g Isolated yield on a 0.30 mmol scale: 56%; For a qualitative analysis on side-products in this protocol, see Supporting Information.
