Table 1 Optimization of the reaction conditions a

| Entry   | [H] source   | Base         | Ratio b           | Yield c (%)   |
|---------|--------------|--------------|-------------------|---------------|
| 1 d , e | -            | -            | 1 : 3 : 3 : 0 : 0 | ND            |
| 2 d , f |              | -            | 1 : 3 : 3 : 0 : 0 | Trace         |
| 3 d , g | - -          | -            | 1 : 3 : 3 : 0 : 0 | ND            |
| 4 d -   |              | -            | 1 : 3 : 3 : 0 : 0 | 16            |
| 5 h -   |              | -            | 1 : 2 : 2 : 0 : 0 | 4             |
| 6 i -   |              | -            | 1 : 2 : 2 : 0 : 0 | 25            |
| 7       | -            | -            | 1 : 2 : 2 : 0 : 0 | 28            |
| 8       | -            | NaHCO 3      | 1 : 2 : 2 : 0 : 4 | 41            |
| 9       | -            | KH 2 PO 4    | 1 : 2 : 2 : 0 : 4 | 17            |
| 10      | -            | CH 3 COOK    | 1 : 2 : 2 : 0 : 4 | 28            |
| 11      | -            | Na 2 C 2 O 4 | 1 : 2 : 2 : 0 : 4 | 16            |
| 12      | -            | Cs 2 CO 3    | 1 : 2 : 2 : 0 : 4 | 28            |
| 13      | (TMS) 3 SiH  | NaHCO 3      | 1 : 2 : 2 : 4 : 4 | 15            |
| 14      | Ph 2 SiH 2   | NaHCO 3      | 1 : 2 : 2 : 4 : 4 | 50            |
| 15      | Et 3 SiH     | NaHCO 3      | 1 : 2 : 2 : 4 : 4 | 45            |
| 16      | Bu 3 SnH     | NaHCO 3      | 1 : 2 : 2 : 4 : 4 | 6             |
| 17      | Ph 2 SiH 2   | NaHCO 3      | 1 : 2 : 2 : 4 : 2 | 31            |
| 18      | Ph 2 SiH 2   | NaHCO 3      | 1 : 3 : 2 : 4 : 4 | 57            |
| 19      | Ph 2 SiH 2   | NaHCO 3      | 1 : 4 : 2 : 4 : 4 | 70            |
| 20      | Ph 2 SiH 2   | NaHCO 3      | 1 : 4 : 2 : 2 : 4 | 71            |

a Reaction conditions: 1a (0.2 mmol), 2 , 3 , 4 and base in 1,2-dichloroethane (3.5 mL) under the irradiation of household 26 W CFL at room temperature for 22 h. b Molar ratio of 1a : 2 : 3 : 4 : base. c The yields were determined by 19 F NMR; ND = not detected. d CH3CN was used as the reaction solvent. e Mg was used as the reductant instead of a Hantzsch ester. f Zn was used as the reductant instead of a Hantzsch ester. g Fe was used as the reductant instead of a Hantzsch ester. h DMF was used as the reaction solvent. i DCM was used as the reaction solvent.
