Table 1 Optimization of conditions for alkylation of lepidine with bromocyclohexane a

| Entry   | Photocatalyst                   | Solvent   | Yield b (%)   |
|---------|---------------------------------|-----------|---------------|
| 1       | Ir[dF(CF 3 )ppy] 2 (dtbbpy)PF 6 | Acetone   | 82            |
| 2       | Ir(ppy) 3                       | Acetone   | Trace         |
| 3       | [Ru(bpy) 3 ](PF 6 ) 2           | Acetone   | NR            |
| 4       | Eosin-Y                         | Acetone   | Trace         |
| 5       | Ir[dF(CF 3 )ppy] 2 (dtbbpy)PF 6 | CH 3 CN   | 68            |
| 6       | Ir[dF(CF 3 )ppy] 2 (dtbbpy)PF 6 | MeOH      | 52            |
| 7       | Ir[dF(CF 3 )ppy] 2 (dtbbpy)PF 6 | DMF       | 23            |
| 8 c     | Ir[dF(CF 3 )ppy] 2 (dtbbpy)PF 6 | Acetone   | NR            |
| 9       | -                               | Acetone   | NR            |
| 10 d    | Ir[dF(CF 3 )ppy] 2 (dtbbpy)PF 6 | Acetone   | NR            |
| 11 e    | Ir[dF(CF 3 )ppy] 2 (dtbbpy)PF 6 | Acetone   | 12            |

molecular oxygen as the oxidant, and acetone as the solvent under irradiation with a 36 W blue LED (see the ESI ‡ ). To our delight, desired product 3 was obtained in excellent yield when TTMS was used as a silyl radical precursor (entry 1). Using the above-described conditions, we then varied the photocatalyst (entries 2 -4). However, [Ir(dF(CF3)ppy)2(dtbbpy)]PF6 proved to be the most e ff ective catalyst. Other solvents (acetonitrile, methanol, and dimethylformamide) gave lower yields (entries 5 -7). Control experiments showed that the reaction failed to proceed in the absence of light, photocatalyst, TTMS, or molecular oxygen (entries 8 -11).
