## Table 1 | Condition Optimizations a

![Image](Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional__artifacts/image_000002_88693b0b21acf487be2f4b88206036b27317db8ae381f84de0d3711a9b95fabe.png)

| Entry   | PC (mol%)   | NHCs (15mol%)   | Solvent (2mL)   | Yields   |
|---------|-------------|-----------------|-----------------|----------|
| 1       | PC-1 (2)    | NHC-1           | DCM             | 41%      |
| 2       | PC-2 (2)    | NHC-1           | DCM             | 73%      |
| 3       | PC-3 (2)    | NHC-1           | DCM             | 94%      |
| 4       | PC-4 (2)    | NHC-1           | DCM             | 96%      |
| 5       | PC-5 (2)    | NHC-1           | DCM             | trace    |
| 6       | PC-3 (1)    | NHC-1           | DCM             | 67%      |
| 7       | PC-3 (2)    | NHC-2           | DCM             | trace    |
| 8       | PC-3 (2)    | NHC-3           | DCM             | 87%      |
| 9       | PC-3 (2)    | NHC-4           | DCM             | 36%      |
| 10      | PC-3 (2)    | NHC-5           | DCM             | 94%      |
| 11      | PC-3 (2)    | NHC-6           | DCM             | 85%      |
| 12      | PC-3 (2)    | NHC-7           | DCM             | 17%      |
| 13      | PC-3 (2)    | NHC-1           | PhCF 3          | 65%      |
| 14      | PC-3 (2)    | NHC-1           | DCE             | 82%      |
| 15      | PC-3 (2)    | NHC-1           | CH 3 CN         | 12%      |
| 16      | PC-3 (2)    | NHC-1           | THF             | 37%      |
| 17 b    | PC-3 (2)    | NHC-1           | DCM             | 95%      |

a Unless otherwise noted, all the reactions were carried out with 1 (0.1 mmol), 2 (0.2 mmol), NHCs (0.015 mmol), Cs2CO3 (0.2 mmol), and PC (0.002 mmol) in solvent (2 mL), with 40 W blue LEDs at 30 o C for 12 h. isolated yields. b Racemic NHC-1 was employed.
