Table 1 Reaction optimization a

.

![Image](Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk_artifacts/image_000005_780a4e7fe59c0efd403e10c6442e69c88854995c2e54b67af717c3fecb14cd47.png)

.

|   Entry | deviation from standard conditions   | Yield (%) b   |
|---------|--------------------------------------|---------------|
|       1 | none                                 | 46            |
|       2 | DBU instead of DIPEA                 | 39            |
|       3 | DABCO instead of DIPEA               | 50            |
|       4 | 2,6-lutidine instead of DIPEA        | 42            |
|       5 | Et 3 N instead of DIPEA              | 57            |
|       6 | EtOH instead of MeOH                 | 42            |
|       7 | DCE instead of MeOH                  | 17            |
|       8 | THF instead of MeOH                  | trace         |
|       9 | 1a : 2a = 3:1, 36 h                  | 72            |
|      10 | without base                         | 44            |
|      11 | In dark                              | n.r.          |
|      12 | without Ru(bpy) 3 Cl 2 • 6H 2 O      | n.r.          |
